Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-08,0.0,0.0,0.0,-1.2802,-1.3478,-0.8129,-0.8129,-0.7838,-0.4576,-0.4575,-2.4304,-3.4705,-2.3471,0.0,0.0,-1.7268,-1.4008,-0.7707,-1.7557,-3.25,-2.0778,-1.9233,-3.3409,-5.5622,30.0,30.0,30.0,28.7198,27.372,26.5591,25.7462,24.9624,24.5048,24.0473,21.6169,18.1464,15.7993,20.3212,31.9536,30.2268,28.826,28.0553,26.2996,23.0496,20.9718,19.0485,15.7076,10.1454
2024-05-09,0.0,0.0,0.0,-0.5144,-0.5143,-0.5144,-0.7847,-0.9457,-0.8945,-1.6717,-3.2344,-1.066,-0.5157,-0.7994,-0.8511,-0.6902,-0.5269,-0.5269,-0.5268,-4.5981,-9.8293,-8.2916,0.0,0.0,18.2744,47.4434,49.7352,49.2208,48.7065,48.1921,47.4074,46.4617,45.5672,43.8955,40.6611,39.5951,39.0794,38.28,37.4289,36.7387,36.2118,35.6849,35.1581,30.56,20.7307,12.4391,24.1838,24.8067
2024-05-10,0.0,-1.9727,-13.9986,-13.9987,-6.2758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6039,-3.6673,-1.59,-1.3769,-1.5906,-1.8064,-3.7647,-3.4454,-1.4764,-1.6133,0.0,0.0,43.1601,41.1874,27.1888,13.1901,6.9143,11.6908,16.4674,21.244,26.0206,30.7972,35.5738,35.6093,34.0054,30.3381,28.7481,27.3712,25.7806,23.9742,20.2095,16.7641,15.2877,13.6744,40.4254,48.9443
2024-05-11,-1.717,-0.8324,-2.4885,-0.5544,-0.5545,-0.5545,-0.5544,-0.5545,-0.5544,-0.5545,-0.8039,-0.8158,-0.7386,-0.6623,-1.0395,-1.5441,-1.4758,-0.687,-0.5607,-0.4847,-0.5637,-0.6254,-0.6255,-0.6982,47.2273,46.3949,43.9064,43.352,42.7975,42.243,41.6886,41.1341,40.5797,40.0252,39.2213,38.4055,37.6669,37.0046,35.9651,34.421,32.9452,32.2582,31.6975,31.2128,30.6491,30.0237,29.3982,28.7
2024-05-12,-0.8257,-0.8257,-5.3188,-7.3779,-0.7724,-0.4597,-0.6905,-0.772,-0.772,-0.772,-1.0076,-1.0483,-1.6264,-1.4745,-0.3152,-0.3151,-0.3152,-0.624,0.0,0.0,0.0,-1.7166,-8.4765,-5.9821,27.8743,27.0486,21.7298,14.3519,13.5795,13.1198,12.4293,11.6573,10.8853,10.1133,9.1057,8.0574,6.431,4.9565,4.6413,4.3262,4.011,3.387,6.8422,16.6796,26.517,24.8004,16.3239,10.3418
2024-05-13,0.0,0.0,-2.6804,-3.4224,-0.5324,-0.44,-0.4066,-0.4038,-0.3964,-0.3963,-0.9524,-1.1354,-0.7019,-0.698,-0.6829,-0.5778,-0.6358,-0.7247,-0.7248,-2.1854,-4.789,-3.6421,-5.5684,-6.4589,17.5651,41.7765,39.0961,35.6737,35.1413,34.7013,34.2947,33.8909,33.4945,33.0982,32.1458,31.0104,30.3085,29.6105,28.9276,28.3498,27.714,26.9893,26.2645,24.0791,19.2901,15.648,10.0796,3.6207
2024-05-14,0.0,0.0,-2.6508,-0.5416,-0.5416,-0.5416,-0.5416,-0.5416,-0.651,-1.5276,-2.5212,-1.3783,-1.0406,-0.4854,-0.4854,-0.746,-0.7613,-0.7613,-0.7697,-3.0754,0.0,0.0,-6.087,-7.1126,33.6802,37.4755,34.8247,34.2831,33.7415,33.1999,32.6583,32.1167,31.4657,29.9381,27.4169,26.0386,24.998,24.5126,24.0272,23.2812,22.5199,21.7586,20.9889,17.9135,25.9251,56.7745,50.6875,43.5749
2024-05-15,-4.1357,-1.455,-0.7573,-0.7086,-0.6878,-0.6878,-0.6892,-0.6895,-0.6896,-0.6637,-1.3342,-2.2813,-3.7394,-2.6092,-1.9925,-2.5402,-1.6625,-3.4367,-2.3766,0.0,0.0,-7.7432,-5.231,-4.8087,39.4392,37.9842,37.2269,36.5183,35.8305,35.1427,34.4535,33.764,33.0744,32.4107,31.0765,28.7952,25.0558,22.4466,20.4541,17.9139,16.2514,12.8147,10.4381,57.7988,89.9661,82.2229,76.9919,72.1832
2024-05-16,-3.0062,-4.4301,-1.1499,-2.2263,-2.3025,-1.3056,-1.0201,-0.6404,-1.2547,-1.4825,-1.6621,-1.9894,-2.187,-3.8312,-4.1734,-1.4368,-1.2885,-0.8683,-1.7018,-1.2088,-1.0508,-0.3256,-0.3257,-0.5485,69.177,64.7469,63.597,61.3707,59.0682,57.7626,56.7425,56.1021,54.8474,53.3649,51.7028,49.7134,47.5264,43.6952,39.5218,38.085,36.7965,35.9282,34.2264,33.0176,31.9668,31.6412,31.3155,30.767
2024-05-17,-11.8864,-12.4071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6649,-2.5952,-3.307,-1.2303,-0.7695,-0.9645,-1.4329,-2.4573,-8.6005,-7.0398,0.0,-7.1783,-1.5432,18.8806,6.4735,10.0503,13.6271,17.204,20.7808,24.3576,27.9344,31.5113,35.0881,38.6649,37.0,34.4048,31.0978,29.8675,29.098,28.1335,26.7006,24.2433,15.6428,8.603,61.0303,53.852,52.3088
2024-05-18,-0.6463,-0.5331,-0.5098,-0.5023,-0.5964,-0.6249,-0.625,-0.5516,-0.4955,-0.4126,-0.3443,-0.3443,-0.8586,-3.6656,-3.7051,-0.7128,-1.9959,-0.9263,-0.7775,-0.9866,-1.3595,-4.4399,-16.3372,0.0,51.6625,51.1294,50.6196,50.1173,49.5209,48.896,48.271,47.7194,47.2239,46.8113,46.467,46.1227,45.2641,41.5985,37.8934,37.1806,35.1847,34.2584,33.4809,32.4943,31.1348,26.6949,10.3577,38.3595
2024-05-19,-7.2577,-1.6418,-0.7782,-0.6333,-0.6332,-0.5842,-0.4905,-0.4905,-0.4905,-0.5488,-0.7091,-0.709,-0.7979,-2.8117,-4.4977,-1.9184,-0.962,-0.88,-0.8202,-0.7543,-0.3517,-0.3516,0.0,0.0,31.1018,29.46,28.6818,28.0485,27.4153,26.8311,26.3406,25.8501,25.3596,24.8108,24.1017,23.3927,22.5948,19.7831,15.2854,13.367,12.405,11.525,10.7048,9.9505,9.5988,9.2472,14.7286,37.3638
2024-05-20,0.0,-2.6377,-1.1935,-0.911,-0.911,-0.7205,-0.5295,-0.5294,-0.5294,-0.8599,-0.9876,-0.9876,-1.095,-5.4364,-2.3719,-1.4572,-1.4557,-2.0274,0.0,0.0,-0.287,-1.1142,-1.0513,-2.4437,38.1095,35.4718,34.2783,33.3673,32.4563,31.7358,31.2063,30.6769,30.1475,29.2876,28.3,27.3124,26.2174,20.781,18.4091,16.9519,15.4962,13.4688,32.1116,41.2542,40.9672,39.853,38.8017,36.358
2024-05-21,-4.6563,-0.6657,-0.6656,-0.6656,-0.6656,-1.0691,-1.039,-0.6071,-0.607,-0.6071,-0.607,-1.0174,-4.5397,-2.7686,-1.894,0.0,0.0,-2.4105,-1.2625,-0.6833,-0.6834,-0.9381,-1.8008,-0.6005,31.7017,31.036,30.3704,29.7048,29.0392,27.9701,26.9311,26.324,25.717,25.1099,24.5029,23.4855,18.9458,16.1772,14.2832,21.8454,75.6126,73.2021,71.9396,71.2563,70.5729,69.6348,67.834,67.2335
2024-05-22,-0.6004,-0.6005,-11.4004,-1.7336,-0.7672,-0.7673,-1.5183,-1.9553,-0.6861,-0.686,-0.7785,-1.0644,-1.4364,-2.0825,-1.6723,-2.1875,-2.0024,-1.0053,-0.8814,-1.0498,-1.1946,-1.1797,-3.6165,-7.6827,66.6331,66.0326,54.6322,52.8986,52.1314,51.3641,49.8458,47.8905,47.2044,46.5184,45.7399,44.6755,43.2391,41.1566,39.4843,37.2968,35.2944,34.2891,33.4077,32.3579,31.1633,29.9836,26.3671,18.6844
2024-05-23,-11.6362,0.0,-4.1676,-4.9191,-0.347,-0.347,-1.1799,-1.7476,-0.6757,-0.5267,-1.7041,-3.0025,-0.9966,-1.1755,-1.3706,-1.4831,-2.6834,-3.1704,-1.3216,-1.0061,-0.9954,-1.4273,-1.4764,-4.9198,7.0482,56.9214,52.7538,47.8347,47.4877,47.1407,45.9608,44.2132,43.5375,43.0108,41.3067,38.3042,37.3076,36.1321,34.7615,33.2784,30.595,27.4246,26.103,25.0969,24.1015,22.6742,21.1978,16.278
2024-05-24,-4.0963,-1.3595,-0.5413,-0.6385,-0.7432,-0.7432,-1.6207,-0.9832,-0.6297,-0.6296,-0.8127,0.0,0.0,0.0,0.0,-1.9362,-2.4339,-2.7269,-2.0689,-1.5087,-0.9201,0.0,0.0,-3.3114,12.1817,10.8222,10.2809,9.6424,8.8992,8.156,6.5353,5.5521,4.9224,4.2928,3.4801,4.8753,8.5824,12.2896,13.097,11.1608,8.7269,6.0,3.9311,2.4224,1.5023,35.401,80.9759,77.6645
2024-05-25,-5.9092,-6.7553,-4.9803,-3.3025,-0.5199,-0.52,-0.52,-0.3311,-0.2492,-0.2492,-0.2492,-0.6107,-1.1578,-2.1289,-6.4037,-2.3811,-0.7873,-0.4537,-0.6407,-0.738,-0.7379,-1.2797,-4.0781,-4.3072,71.7553,65.0,60.0197,56.7172,56.1973,55.6773,55.1573,54.8262,54.577,54.3278,54.0786,53.4679,52.3101,50.1812,43.7775,41.3964,40.6091,40.1554,39.5147,38.7767,38.0388,36.7591,32.681,28.3738
2024-05-26,-5.3033,-4.6358,-2.9526,-0.9322,-0.6873,-0.335,-0.335,-0.4847,-0.6873,-0.6874,-0.7147,-0.7404,-0.7404,-0.5676,-0.5282,-1.1785,-0.466,-0.5288,-0.8911,-0.891,0.0,0.0,0.0,-2.7856,23.0705,18.4347,15.4821,14.5499,13.8626,13.5276,13.1926,12.7079,12.0206,11.3332,10.6185,9.8781,9.1377,8.5701,8.0419,6.8634,6.3974,5.8686,4.9775,4.0865,12.6007,85.1434,100.0,97.2144
