Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.645,-11.424,-10.3172,-8.9847,-14.6107,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,85.5001,71.8551,60.4311,50.1139,41.1292,26.5185
2024-05-08,-13.1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.541,-4.4789,-9.0623,-8.9032,-7.1826,-6.737,-11.8461,-8.8503,-11.7996,0.0,-17.1842,-18.0331,-7.2105,0.0,-3.7913,-6.3757,13.3899,88.0448,100.0,100.0,100.0,100.0,100.0,100.0,98.459,93.9801,84.9178,76.0146,68.832,62.095,50.2489,41.3986,29.599,59.5952,42.411,24.3779,17.1674,49.5602,45.7689,39.3932
2024-05-09,-6.4874,0.0,-1.0921,-1.092,-1.0921,-0.3004,0.0,0.0,-5.4127,-5.0203,-7.1013,-12.6072,-9.6723,-9.9057,-8.8006,-2.5634,-9.6284,0.0,0.0,-15.449,-6.9571,-9.9207,0.0,0.0,32.9058,36.3041,35.212,34.12,33.0279,32.7275,45.1067,83.1841,77.7714,72.7511,65.6498,53.0426,43.3703,33.4646,24.664,22.1006,12.4722,19.717,49.4299,33.9809,27.0238,17.1031,31.236,39.2263
2024-05-10,-22.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4917,-6.9611,-4.3168,-3.6451,-3.5436,-9.6501,-7.1699,-6.5357,-5.6848,-8.8606,-10.0265,-9.8733,0.0,0.0,-12.975,-19.7136,16.5123,59.7413,98.242,100.0,100.0,100.0,100.0,100.0,92.5083,85.5472,81.2304,77.5853,74.0417,64.3916,57.2217,50.686,45.0012,36.1406,26.1141,16.2408,58.7304,60.162,47.187,27.4734
2024-05-11,-6.1376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.375,-6.625,-2.1821,-4.7085,-2.1094,-1.8087,-2.7752,-2.9382,-1.9754,-19.9818,-21.5119,-7.9863,-11.0225,0.0,0.0,21.3358,42.7149,99.5225,100.0,100.0,100.0,100.0,100.0,99.0,96.625,90.0,87.8179,83.1094,81.0,79.1913,76.4161,73.4779,71.5025,51.5207,30.0088,22.0225,11.0,71.0394,73.9894
2024-05-12,-25.3321,-8.8084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4609,-4.926,-1.4847,-7.896,-24.9974,-22.7448,0.0,0.0,0.0,-7.2754,-4.9975,-6.92,-11.1916,-13.8981,-15.8434,48.6573,39.8489,97.8873,100.0,100.0,100.0,100.0,100.0,100.0,98.5391,93.6131,92.1284,84.2324,59.235,36.4902,80.9437,98.8631,100.0,92.7246,87.7271,80.8071,69.6155,55.7174,39.874
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2574,-0.8315,-8.9534,-3.8194,0.0,-5.3029,-9.173,-7.0741,-8.4781,-1.6127,0.0,-7.804,-7.7583,-12.7971,-14.2142,-9.3754,0.0,52.3731,99.5688,100.0,100.0,100.0,100.0,100.0,99.7426,98.9111,89.9577,86.1383,100.0,94.6971,85.5241,78.45,69.9719,68.3592,75.8514,68.0474,60.2891,47.492,33.2778,23.9024,50.8928
2024-05-14,-23.7533,-12.6589,0.0,0.0,0.0,0.0,0.0,0.0,-0.903,-2.8192,-3.1811,-9.3251,-6.9936,-7.1075,-11.1509,-5.8912,-6.6247,-4.1659,-7.619,-7.8972,0.0,-10.9337,-9.8444,-1.9619,27.1395,14.4806,56.7533,99.6626,100.0,100.0,100.0,100.0,99.097,96.2778,93.0967,83.7716,76.778,69.6705,58.5196,52.6284,46.0037,41.8378,34.2188,26.3216,42.7878,31.8541,22.0097,20.0478
2024-05-15,-1.18,-1.1801,-1.6748,0.0,0.0,0.0,-1.0284,-1.0284,-1.0284,-1.0284,-6.0209,0.0,-2.5292,-4.0826,-2.3035,-2.3878,-1.4871,-1.9592,-2.433,0.0,0.0,-7.3917,-12.7395,-10.7495,18.8678,17.6877,16.0129,19.7247,28.5918,29.1345,28.1061,27.0777,26.0493,25.0209,19.0,62.4399,59.9107,55.8281,53.5246,51.1368,49.6497,47.6905,45.2575,47.415,57.6302,50.2385,37.499,26.7495
2024-05-16,-5.799,-0.7572,-0.7572,-0.7572,-0.7572,-0.7573,-0.7572,-0.8676,-0.9959,-1.7657,0.0,0.0,-2.9726,-4.5063,-2.7984,-2.1,-1.3698,-1.3248,-1.4331,-1.5159,-1.8047,-1.7689,-2.983,-6.5408,20.9505,20.1933,19.4361,18.6789,17.9217,17.1644,16.4072,15.5396,14.5437,12.778,15.548,54.6189,51.6463,47.14,44.3416,42.2416,40.8718,39.547,38.1139,36.598,34.7933,33.0244,30.0414,23.5006
