Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6213,-12.339,-3.1532,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,49.3787,37.0397,33.8865
2024-05-07,-8.2012,-8.5884,0.0,-1.8559,-2.8252,-2.8252,-0.627,-0.4936,-0.4936,-0.4936,0.0,-10.9579,-9.5562,-9.7845,-14.1085,0.0,-9.7338,-7.5606,0.0,-22.1757,0.0,-0.0842,-7.3639,-6.9562,25.6853,17.0969,27.6679,25.812,22.9868,20.1616,19.5346,19.041,18.5474,18.0538,79.2103,68.2524,58.6962,48.9117,34.8032,50.0,40.2662,32.7056,45.4957,23.32,50.003,49.9188,42.5549,35.5987
2024-05-08,-7.2364,-3.7768,-2.2223,-1.2608,-1.2609,-1.2608,-1.2608,-1.2608,-1.4179,-2.2418,0.0,0.0,-7.5085,-9.4438,-6.3636,-6.5069,-4.5236,-9.4557,0.0,0.0,-10.8748,-10.0335,-7.575,-4.5458,28.3623,24.5855,22.3632,21.1024,19.8415,18.5807,17.3199,16.0591,14.6412,12.3994,45.5706,64.5883,57.0798,47.636,41.2724,34.7655,30.2419,20.7862,47.1574,56.4433,45.5685,35.535,27.96,23.4142
2024-05-09,0.0,0.0,0.0,-1.0722,-1.25,-1.2499,-1.25,0.0,0.0,-2.9138,-5.4961,-12.1463,-2.0766,-1.1038,-10.0046,0.0,-13.3639,-20.528,-15.5045,-9.8255,0.0,0.0,-4.4124,-8.6225,28.5076,30.0,30.0,28.9278,27.6778,26.4279,25.1779,35.4713,63.8231,60.9093,55.4132,43.2669,41.1903,40.0865,30.0819,88.3929,75.029,54.501,38.9965,29.171,29.6757,84.0594,79.647,71.0245
2024-05-10,-4.9694,-13.5372,-8.0776,-1.2255,-1.2254,-1.2254,-1.3108,-1.452,-1.452,-1.452,-1.4865,-1.5932,-13.0964,0.0,0.0,-15.0797,-10.2182,-2.1816,-4.3287,-12.2603,0.0,0.0,-4.6182,-13.6598,66.0551,52.5179,44.4403,43.2148,41.9894,40.764,39.4532,38.0012,36.5492,35.0972,33.6107,32.0175,18.9211,63.0727,68.4562,53.3765,43.1583,40.9767,36.648,24.3877,34.7393,61.7409,57.1227,43.4629
2024-05-11,-8.6687,-1.1341,-1.1342,-1.1341,-1.1341,-1.1342,-1.4043,-1.4373,-1.4373,-1.4373,-3.6612,0.0,0.0,-12.1063,-9.9935,-11.4602,-4.0212,-3.3535,-5.9545,-6.3311,-3.2297,-3.2478,-3.707,-6.1542,34.7942,33.6601,32.5259,31.3918,30.2577,29.1235,27.7192,26.2819,24.8446,23.4073,19.7461,20.7464,87.7125,75.6062,65.6127,54.1525,50.1313,46.7778,40.8233,34.4922,31.2625,28.0147,24.3077,18.1535
2024-05-12,0.0,-7.7656,-1.6162,-1.5997,-1.0973,-1.0972,-1.0973,-1.0972,-1.0973,-2.2539,0.0,-3.2869,0.0,0.0,-1.4665,-4.0799,-1.7103,-1.7103,-15.4986,-6.9859,-2.9725,-4.7093,-12.7185,-6.7457,26.9469,19.1813,17.5651,15.9654,14.8681,13.7709,12.6736,11.5764,10.4791,8.2252,24.7708,21.4839,91.7508,100.0,98.5335,94.4536,92.7433,91.033,75.5344,68.5485,65.576,60.8667,48.1482,41.4025
2024-05-13,-5.2203,-2.9724,-2.1902,-0.9472,-0.936,-0.936,-0.9359,-0.936,-0.936,-2.8874,-2.9022,0.0,0.0,-3.5368,-5.7338,-3.4273,-2.7681,-4.0795,-4.1811,-3.0314,-12.1794,-10.1609,-7.3525,0.0,36.1822,33.2098,31.0196,30.0724,29.1364,28.2004,27.2645,26.3285,25.3925,22.5051,19.6029,78.5888,99.2146,95.6778,89.944,86.5167,83.7486,79.6691,75.488,72.4566,60.2772,50.1163,42.7638,70.5844
2024-05-14,-9.1548,-3.0578,-4.4322,0.0,-9.0192,-10.9823,-1.6999,-2.1319,-4.527,-1.532,0.0,0.0,-12.0521,-10.6903,-11.1022,-6.4955,-4.4272,-11.4131,0.0,-13.2518,-12.0992,-18.4141,0.0,-8.62,61.4296,58.3718,53.9396,58.1677,49.1485,38.1662,36.4663,34.3344,29.8074,28.2754,37.2913,88.9771,76.925,66.2347,55.1325,48.637,44.2098,32.7967,60.6266,47.3748,35.2756,16.8615,61.3941,52.7741
2024-05-15,-14.0193,-7.566,-5.9726,-1.8018,-1.6612,-1.6612,-1.8699,-2.2701,-3.1419,-3.7715,0.0,0.0,0.0,-10.4633,-14.4153,-9.9493,-13.8585,0.0,0.0,-2.7172,-8.218,-15.4544,0.0,-6.3131,38.7548,31.1888,25.2162,23.4144,21.7532,20.092,18.2221,15.952,12.8101,9.0386,18.5789,57.8466,60.7104,50.2471,35.8318,25.8825,12.024,38.7703,43.3925,40.6753,32.4573,17.0029,63.3764,57.0633
