Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-05,0.0,-6.6898,-3.9556,-1.0073,-1.4746,-1.2317,-0.7762,-1.2895,-1.7044,-1.121,-4.0953,-6.9707,0.0,-1.3331,-0.8394,0.0,0.0,-4.1144,-6.6212,-6.6156,-5.0151,-4.2304,-4.2007,-4.1293,38.0,31.3102,27.3546,26.3473,24.8727,23.641,22.8648,21.5753,19.8709,18.7499,14.6546,7.6839,9.3014,7.9683,7.1289,67.7947,100.0,95.8856,89.2644,82.6488,77.6337,73.4033,69.2026,65.0733
2024-05-06,-2.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2332,-8.5364,-7.6207,-1.3956,63.0,63.5839,64.2556,64.9272,65.5989,66.2705,66.9422,67.6139,68.2855,68.9572,69.6288,70.3005,70.9722,71.6438,72.3155,72.9872,73.6588,74.3305,74.976,90.2938,84.0606,75.5242,67.9035,66.5079
2024-05-07,-1.2742,-1.2919,-0.9252,-0.5162,-0.522,-1.3166,-1.4383,-2.9542,-5.1889,-6.3412,-8.3183,-4.8429,-2.9713,0.0,0.0,-4.7467,-3.8451,-5.6102,-4.8661,0.0,-12.4643,-7.588,-6.7004,0.0,65.2337,63.9418,63.0166,62.5004,61.9784,60.6618,59.2235,56.2693,51.0804,44.7392,36.4209,31.578,28.6067,33.5003,56.6037,51.857,48.0119,42.4017,37.5356,37.6018,25.1375,17.5495,10.8491,60.4067
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0094,-3.3588,-6.8089,-5.4614,-8.7982,-8.0989,-5.2116,-8.7993,-7.6236,-6.7197,-7.6192,-11.8126,-3.7034,0.0,-2.4402,-2.2108,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.9906,94.6318,87.8229,82.3615,73.5633,65.4644,60.2528,51.4535,43.8299,37.1102,29.491,17.6784,13.975,27.2717,24.8315,22.6207
2024-05-09,-1.3906,-1.1796,0.0,0.0,-1.4121,-1.5516,-2.1752,-1.1896,-1.1419,-2.1231,-4.0317,-3.0605,0.0,-1.3044,-4.7454,-6.6183,-4.8223,-5.2972,-8.4175,-2.6091,0.0,-7.3104,-5.6784,-5.613,21.2301,20.0505,21.1421,29.2774,27.8653,26.3137,24.1385,22.9489,21.807,19.6839,15.6522,12.5917,54.9715,53.6671,48.9217,42.3034,37.4811,32.1839,23.7664,21.1573,33.5476,26.2372,20.5588,14.9458
2024-05-10,-0.9999,-0.9753,-0.975,-0.9183,-0.9182,-1.3695,-1.9034,-1.7448,-0.4567,0.0,-6.9079,-6.8168,-8.277,-6.4323,0.0,0.0,0.0,-3.0786,-7.3161,-7.3952,0.0,-4.7508,0.0,-3.9756,13.9459,12.9706,11.9956,11.0773,10.1591,8.7896,6.8862,5.1414,4.6847,45.4169,38.509,31.6922,23.4152,16.9829,17.2254,25.7994,28.8427,25.7641,18.448,11.0528,14.2069,9.4561,39.6723,35.6967
2024-05-11,-5.7959,-2.0952,-1.7755,-1.3518,-1.3444,-0.8076,-1.1279,-3.8074,-1.511,-2.3387,-2.8106,0.0,-4.0226,-4.5407,-5.4056,-0.2475,-3.2024,-6.461,-5.2319,-5.9412,-2.5353,0.0,-7.2111,-4.7083,29.9008,27.8056,26.0301,24.6783,23.3339,22.5263,21.3984,17.591,16.08,13.7413,10.9307,45.9689,41.9463,37.4056,32.0,31.7525,28.5501,22.0891,16.8572,10.916,8.3807,51.7809,44.5698,39.8615
2024-05-12,-0.7365,-0.7365,-0.7313,-0.7254,-0.7254,-1.559,-1.5351,-2.9836,-1.8399,-2.5389,-3.0933,-1.6885,0.0,-13.8205,-8.7007,-9.3541,0.0,-2.9726,0.0,0.0,-5.0969,0.0,0.0,0.0,39.125,38.3885,37.6572,36.9318,36.2064,34.6474,33.1123,30.1287,28.2888,25.7499,22.6566,20.9681,38.9984,25.1779,16.4772,7.1231,14.6925,11.7199,12.6353,12.8728,7.7759,35.5907,60.9583,89.2272
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0201,-2.6045,-5.3456,-5.1256,-2.015,-5.5641,-3.331,-6.0231,0.0,0.0,-8.347,-5.3762,-6.0928,-14.3472,-8.3757,0.0,-9.0046,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.9799,93.3754,88.0298,82.9042,80.8892,75.3251,71.9941,65.971,74.9903,83.0876,74.7406,69.3644,63.2716,48.9244,40.5487,55.2833,46.2787
2024-05-14,-5.0808,-2.8978,-2.3504,-0.8963,-0.8963,-1.5536,-1.5101,-2.5544,0.0,0.0,-6.8958,-11.1143,-7.1349,-3.1254,0.0,-7.2493,0.0,0.0,-2.491,-6.7082,-5.1302,-5.9251,-1.6068,-4.4582,41.1979,38.3001,35.9497,35.0534,34.1571,32.6035,31.0934,28.539,45.1787,47.1428,40.247,29.1327,21.9978,18.8724,40.826,33.5767,77.5098,78.9651,76.4741,69.7659,64.6357,58.7106,57.1038,52.6456
