Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7843,-2.1694,-1.0463,-0.9855,-2.8344,-4.2086,-5.1251,-4.9554,-2.4441,-1.8714,-3.0548,-1.8249,-3.7254,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,92.2157,90.0463,89.0,88.0145,85.1801,80.9715,75.8464,70.891,68.4469,66.5755,63.5207,61.6958,57.9704
2024-05-08,-1.0942,-1.0942,-0.9428,-0.5636,-0.5636,-0.5636,-1.0556,-1.9936,-4.6831,-1.1229,-2.0684,-4.6811,-2.9936,-2.4073,-3.0176,-6.2365,-2.4617,-2.0749,-4.2682,-4.5922,0.0,0.0,-1.3659,0.0,56.8762,55.782,54.8392,54.2756,53.712,53.1484,52.0928,50.0992,45.4161,44.2932,42.2248,37.5437,34.5501,32.1428,29.1252,22.8887,20.427,18.3521,14.0839,9.4917,16.6226,21.3579,19.992,21.7368
2024-05-09,0.0,-5.9691,-1.0758,-0.8446,-0.8445,-1.0081,-2.3525,-1.8009,-6.3734,-3.7338,-3.1259,-0.1507,0.0,0.0,-2.2832,-4.0888,-3.0207,-4.305,-4.0778,-4.9618,-5.4978,-8.7544,-5.4233,0.0,37.51,31.5409,30.4651,29.6205,28.776,27.7679,25.4154,23.6145,17.2411,13.5073,10.3814,10.2307,23.1222,51.0,48.7168,44.628,41.6073,37.3023,33.2245,28.2627,22.7649,14.0105,8.5872,9.3122
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.188,-0.7014,-1.0019,-2.8509,-4.8545,-3.3757,-3.6842,-4.3976,0.0,0.0,-6.5704,-2.2799,-2.1915,-1.6687,-2.0194,-6.1996,39.2996,71.2969,100.0,100.0,100.0,100.0,100.0,100.0,99.812,99.1106,98.1087,95.2578,90.4033,87.0276,83.3434,78.9458,86.4137,98.1622,91.5918,89.3119,87.1204,85.4517,83.4323,77.2327
2024-05-11,-1.621,-0.6084,-1.0836,-1.0862,-1.0275,-0.834,-0.834,-0.8339,-3.5142,-2.6692,-1.549,-4.1258,-7.4885,-7.1235,-4.9554,-6.5123,-3.0555,-1.657,-9.5655,-5.4241,-4.6315,-2.1617,0.0,0.0,75.6117,75.0033,73.9197,72.8335,71.806,70.972,70.138,69.3041,65.7899,63.1207,61.5717,57.4459,49.9574,42.8339,37.8785,31.3662,28.3107,26.6537,17.0882,11.6641,7.0326,4.8709,23.1057,56.888
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8309,-4.2661,-2.8183,-5.1034,-9.7029,-5.2798,-3.6268,-2.4813,-1.3222,-3.1043,-6.6651,92.8545,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.1691,93.903,91.0847,85.9813,76.2784,70.9986,67.3718,64.8905,63.5683,60.464,53.7989
2024-05-13,-1.3093,-0.9021,-0.902,-0.889,-0.8476,-0.8477,-0.7265,0.0,0.0,0.0,0.0,-3.0169,-6.0164,-6.891,-5.4323,-4.3149,-6.0991,-4.0461,-2.7482,-2.1855,-5.3369,-7.076,-3.7508,-10.9077,52.4896,51.5875,50.6855,49.7965,48.9489,48.1012,47.3747,49.0233,70.384,99.0473,100.0,96.9831,90.9667,84.0757,78.6434,74.3285,68.2294,64.1833,61.4351,59.2496,53.9127,46.8367,43.0859,32.1782
2024-05-14,-5.0221,-4.7731,-1.1979,-1.1344,-0.7731,-1.0243,-1.104,-1.1303,0.0,0.0,-2.4714,-4.6921,-4.8098,-6.8367,0.0,0.0,0.0,0.0,0.0,-2.867,-3.0805,-4.3606,-2.7492,0.0,27.1561,22.383,21.1851,20.0507,19.2776,18.2533,17.1493,16.019,18.4574,36.1361,33.6647,28.9726,24.1628,17.3261,20.8786,35.4934,53.6333,62.0915,71.1122,68.2452,65.1647,60.8041,58.0549,72.6734
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6956,-1.7363,-2.3173,-3.0917,0.0,0.0,-0.6466,-4.2669,-5.3429,-4.4654,-6.474,-2.8131,-8.7505,-1.9217,-6.3474,-4.8752,99.3504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.3044,96.5681,94.2508,91.1591,100.0,100.0,99.3534,95.0865,89.7436,85.2782,78.8042,75.9911,67.2406,65.3189,58.9715,54.0963
2024-05-16,-4.3326,-6.5884,-1.5034,-0.5329,-0.5329,-0.5329,-0.8688,-0.9224,-2.1691,-3.4461,-3.6442,-2.8277,-3.0124,-3.95,-2.3075,-1.1182,-0.7427,-2.0475,-2.6885,0.0,0.0,0.0,0.0,-1.4816,49.7637,43.1753,41.6719,41.139,40.6061,40.0732,39.2044,38.282,36.1129,32.6668,29.0226,26.1949,23.1825,19.2325,16.925,15.8068,15.0641,13.0166,10.3281,35.6581,60.9881,86.3182,87.9915,86.5099
