Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-05,0.0,-0.0775,-0.499,-0.5583,-0.8875,-0.7894,-0.9237,-3.5922,-3.6945,-2.1126,0.0,0.0,0.0,0.0,-9.886,-6.5798,-4.0651,-9.7102,-8.1781,-8.9992,-6.4681,-4.2013,-10.5998,-3.9077,40.0,39.9225,39.4235,38.8652,37.9777,37.1883,36.2646,32.6724,28.9779,26.8653,32.9033,83.7652,91.0809,97.4658,87.5798,81.0,76.9349,67.2247,59.0466,50.0474,43.5793,39.378,28.7782,24.8705
2024-05-06,-5.8292,-1.2009,-0.3636,-0.3637,-0.8059,-0.9188,-1.0631,-1.6863,0.0,-7.2764,-5.4908,0.0,-2.1187,-5.0024,-4.8789,-7.4436,-4.5564,-1.9338,0.0,-9.0174,-7.0736,-6.2598,-5.1902,0.0,19.0413,17.8404,17.4768,17.1131,16.3072,15.3884,14.3253,12.639,36.7672,29.4908,24.0,45.0,42.8813,37.8789,33.0,25.5564,21.0,19.0662,43.0146,33.9972,26.9236,20.6638,15.4736,59.3383
2024-05-07,-1.9056,-0.3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4327,57.0796,57.1869,57.2942,57.4016,57.5089,57.6162,57.7235,57.8308,57.9382,58.0455,58.1528,58.2601,58.3674,58.4748,58.5821,58.6894,58.7967,58.904,59.0114,59.1187,59.226,59.3333,59.4406
2024-05-08,0.0,0.0,0.0,0.0,0.0,-2.4688,-2.06,-8.3287,-5.7599,-5.1528,-4.6368,-5.1968,0.0,-3.8618,-2.1526,-1.0848,-1.4925,-4.0,-3.2397,-7.7603,-3.8564,-12.9897,-11.0506,-11.1033,59.548,59.6553,59.7626,59.8699,59.9772,57.5084,55.4484,47.1197,41.3598,36.207,31.5702,26.3734,80.5917,76.7299,74.5773,73.4925,72.0,68.0,64.7603,57.0,53.1436,40.1539,29.1033,18.0
2024-05-09,-1.0,-1.9026,-0.9894,-2.7626,-2.1932,-0.9302,-1.222,0.0,0.0,0.0,-4.5974,-2.8831,-4.5875,-2.6763,-2.3245,-3.4242,-4.5413,-2.8803,-4.0611,-4.9669,-9.0935,-3.5305,-6.4216,-6.9033,17.0,15.0974,14.108,11.3454,9.1522,8.222,7.0,30.3904,86.4789,93.0361,88.4387,85.5556,80.9681,78.2918,75.9673,72.5431,68.0018,65.1215,61.0604,56.0935,47.0,43.4695,37.0479,30.1446
2024-05-10,-6.0475,-1.2928,-0.7644,-0.7803,-0.9381,-1.5282,-0.7933,0.0,0.0,-3.7645,-6.482,-6.7984,-2.7731,-3.7291,0.0,0.0,-3.8506,-5.2605,-8.2361,-8.5041,-4.8935,-7.3691,-4.2922,-6.1374,24.0971,22.8043,22.0399,21.2596,20.3215,18.7933,18.0,23.9804,51.818,48.0535,41.5715,34.7731,32.0,28.2709,37.913,99.8506,96.0,90.7395,82.5034,73.9993,69.1058,61.7367,57.4445,51.3071
2024-05-11,-5.9002,-0.8753,-0.636,-0.6838,-1.8294,-1.3131,-3.0693,-1.8958,-2.5141,-6.8002,-7.9991,-4.4303,0.0,0.0,-4.7901,-3.032,-3.9906,-5.1876,-8.5003,-3.0464,-8.4694,-5.1772,-4.5705,-4.7181,45.4069,44.5316,43.8956,43.2118,41.3824,40.0693,37.0,35.1042,32.5901,25.7899,17.7908,13.3605,86.465,98.0531,93.263,90.231,86.2404,81.0528,72.5525,69.5061,61.0367,55.8595,51.289,46.5709
2024-05-12,-3.8124,-1.2728,-0.4857,0.0,-2.1305,-0.7887,-1.2358,-5.8752,-8.8843,-0.3407,0.0,-2.599,-6.1448,-1.3989,-6.9009,-6.9992,-3.3847,-3.1619,-2.9679,-2.9643,-10.999,-10.9645,-9.935,-6.126,42.7585,41.4857,41.0,41.0,38.8695,38.0808,36.845,30.9698,22.0855,21.7448,90.5894,87.9904,81.8456,80.4467,73.5458,66.5466,63.1619,60.0,57.0321,54.0678,43.0688,32.1043,22.1693,16.0433
2024-05-13,-2.9421,-0.7607,-0.7321,-0.7851,-0.9109,-0.7831,0.0,0.0,0.0,-3.5661,-5.6379,-6.9748,-7.2432,-4.8281,-6.7968,-7.2967,-8.7136,-7.4012,-14.0137,-5.6452,-9.7446,0.0,-2.3122,-4.4526,13.1012,12.3405,11.6084,10.8233,9.9124,9.1293,21.2222,97.0397,98.6943,95.1282,89.4903,82.5155,75.2723,70.4442,63.6474,56.3507,47.6371,40.2359,26.2222,20.577,10.8324,39.3122,37.0,32.5474
2024-05-14,-5.7141,-0.9821,-1.3951,-1.2222,-1.1382,-0.5048,-0.4467,-3.0579,-5.3261,-1.4229,0.0,-2.6478,-2.0608,-5.0049,-3.7908,-2.5723,-2.3015,-5.2916,-2.8022,-4.2121,-4.8192,-8.8184,-9.8739,-5.8045,26.8333,25.8512,24.4561,23.2339,22.0957,21.5909,21.1442,18.0863,12.7602,11.3373,82.0,79.3522,77.2914,72.2865,68.4957,65.9234,63.6219,58.3303,55.5281,51.316,46.4968,37.6784,27.8045,22.0
