Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,-1.596,-1.4938,-1.5867,-1.886,-2.5982,-1.1962,-1.157,-0.7113,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.55,85.954,84.4602,82.8735,80.9875,78.3893,77.1931,76.0361,75.3248
2024-05-07,-0.6969,-0.6546,-0.2699,-0.2698,-0.2698,-0.4936,-0.8388,-0.8386,-0.8074,-0.8075,-3.5629,-2.9045,-1.7345,-1.5092,-1.8836,-2.0353,-1.5568,-1.5657,-1.8202,-2.8635,-0.9609,-0.9609,-0.6756,-0.6696,74.6279,73.9733,73.7034,73.4336,73.1638,72.6702,71.8314,70.9928,70.1854,69.3779,65.815,62.9105,61.176,59.6668,57.7832,55.7479,54.1911,52.6254,50.8052,47.9417,46.9808,46.0199,45.3443,44.6747
2024-05-08,-0.6696,-0.5935,-0.593,-0.593,-0.6045,-0.6115,-0.6115,-0.6116,-0.6115,-0.8773,-0.984,-1.6173,0.0,0.0,-1.4582,-1.3724,-1.4568,-0.8497,-1.9177,-2.7947,-1.3422,-0.8317,-0.8317,-0.8316,44.0051,43.4116,42.8186,42.2256,41.6211,41.0096,40.3981,39.7865,39.175,38.2977,37.3137,35.6964,68.8332,79.1137,77.6555,76.2831,74.8263,73.9766,72.0589,69.2642,67.922,67.0903,66.2586,65.427
2024-05-09,-0.723,-0.6083,-0.6083,-2.8713,-10.9986,-10.205,-9.999,-8.5521,-0.8208,-0.8207,-0.8208,-1.5776,-2.0147,-0.9381,-0.938,-0.9561,0.0,0.0,-1.1079,-2.896,-0.6788,-0.6789,-0.7153,-1.0827,64.704,64.0957,63.4874,60.6161,49.6175,39.4125,29.4135,20.8614,20.0406,19.2199,18.3991,16.8215,14.8068,13.8687,12.9307,11.9746,18.1901,31.979,30.8711,27.9751,27.2963,26.6174,25.9021,24.8194
2024-05-10,-1.0828,-0.924,-0.5863,-0.5864,-0.5863,-0.6375,-0.6426,-0.6427,-0.7759,-0.81,-0.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7366,22.8126,22.2263,21.6399,21.0536,20.4161,19.7735,19.1308,18.3549,17.5449,17.0587,17.2381,17.4175,17.5969,17.7764,17.9558,18.1352,18.3146,18.494,18.6734,18.8528,19.0323,19.2117,19.3911
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5705,19.7499,19.9293,20.1087,20.2882,20.4676,20.647,20.8264,21.0058,21.1852,21.3646,21.5441,21.7235,21.9029,22.0823,22.2617,22.4411,22.6205,22.8,22.9794,23.1588,23.3382,23.5176,23.697
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8764,24.0559,24.2353,24.4147,24.5941,24.7735,24.9529,25.1323,25.3118,25.4912,25.6706,25.85,26.0294,26.2088,26.3882,26.5676,26.7471,26.9265,27.1059,27.2853,27.4647,27.6441,27.8235,28.003
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1824,28.3618,28.5412,28.7206,28.9,29.0794,29.2589,29.4383,29.6177,29.7971,29.9765,30.1559,30.3353,30.5148,30.6942,30.8736,31.053,31.2324,31.4118,31.5912,31.7707,31.9501,32.1295,32.3089
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4883,32.6677,32.8471,33.0266,33.206,33.3854,33.5648,33.7442,33.9236,34.103,34.2824,34.4619,34.6413,34.8207,35.0001,35.1795,35.3589,35.5383,35.7178,35.8972,36.0766,36.256,36.4354,36.6148
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7942,36.9737,37.1531,37.3325,37.5119,37.6913,37.8707,38.0501,38.2296,38.409,38.5884,38.7678,38.9472,39.1266,39.306,39.4855,39.6649,39.8443,40.0237,40.2031,40.3825,40.5619,40.7414,40.9208
