Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-05,0.0,-6.7518,-4.2482,-1.5088,-1.4912,-1.9543,-1.3114,-1.1158,-3.5539,-4.7798,0.0,-17.5063,0.0,0.0,-10.1847,-7.3584,-2.3477,-11.4152,-15.9205,-9.4165,0.0,0.0,0.0,-15.0778,40.0,33.2482,29.0,27.4912,26.0,24.0457,22.7343,21.6185,18.0646,13.2848,26.0364,8.5301,61.8364,75.9629,65.7782,58.4198,56.0721,44.6569,28.7364,19.3199,68.0668,75.304,86.7587,71.6809
2024-05-06,-11.419,-1.3216,-0.0668,-0.0667,-0.0668,-0.0667,-0.0668,-0.0667,-0.0668,-0.0667,-0.0667,-0.0668,-0.0667,-0.0668,-0.0667,-0.0668,0.0,-6.4196,-8.1628,-8.8285,0.0,-15.0159,-6.7137,0.0,60.2619,58.9403,58.8735,58.8068,58.74,58.6733,58.6065,58.5398,58.473,58.4063,58.3396,58.2728,58.2061,58.1393,58.0726,58.0058,73.351,66.9314,58.7686,49.9401,55.2527,40.2368,33.5231,59.9641
2024-05-07,-14.3097,-5.9977,-1.6567,-1.3208,-1.4671,-1.2477,-1.9644,-1.0,0.0,-13.4207,0.0,-3.9355,-5.9996,-8.9079,-7.0813,0.0,0.0,0.0,-8.2543,-6.9991,-5.4637,-6.5917,-11.2088,-8.7145,45.6544,39.6567,38.0,36.6792,35.2121,33.9644,32.0,31.0,43.5008,30.0801,69.9662,66.0307,60.0311,51.1232,44.0419,47.1159,82.928,88.7647,80.5104,73.5113,68.0476,61.4559,50.2471,41.5326
2024-05-08,-13.382,-2.7662,-1.725,-1.512,-1.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1506,25.3844,23.6594,22.1474,20.6355,20.9802,22.6711,24.3621,25.6084,26.5854,27.5625,28.5395,29.5165,30.4936,31.4706,32.4476,33.4246,34.4017,35.3787,36.3557,37.3328,38.3098,39.2868,40.2638
2024-05-09,0.0,0.0,0.0,0.0,0.0,-0.8339,-0.834,-0.834,0.0,-5.9937,0.0,-4.7015,-3.2366,-2.444,-3.3027,-3.8861,-6.0969,-3.8861,0.0,0.0,-9.1515,0.0,-15.2979,-2.7856,41.2409,42.2179,43.1949,44.172,44.8728,44.0389,43.2049,42.3709,48.1551,42.1614,66.3544,61.6529,58.4163,55.9723,52.6696,48.7835,42.6866,38.8005,61.3603,69.9904,60.8389,77.9591,62.6612,59.8756
2024-05-10,-1.4191,-1.205,-1.1034,-1.1034,-1.1035,-1.1696,-1.5536,-1.7077,-2.2667,-14.5231,0.0,-4.508,-3.2045,-2.3805,-3.0206,-2.8549,-5.4914,0.0,0.0,-2.8891,-14.9987,-15.2126,0.0,-16.5224,58.4565,57.2515,56.1481,55.0447,53.9412,52.7716,51.218,49.5103,47.2436,32.7205,62.7472,58.2392,55.0347,52.6542,49.6336,46.7787,41.2873,51.1678,91.0,88.1109,73.1122,57.8996,59.0,42.4776
2024-05-11,-10.2859,-11.8071,-1.7661,-1.4156,-0.9815,-0.909,-0.9089,0.0,-1.7463,0.0,-7.4944,-14.2173,0.0,0.0,-8.2614,-12.9991,-14.3165,-6.8818,-6.3681,0.0,0.0,-3.291,-13.9495,-15.8535,32.1917,20.3846,18.6185,17.2029,16.2214,15.3124,14.4035,26.0178,24.2715,43.8771,36.3827,22.1654,55.5418,77.3077,69.0463,56.0472,41.7307,34.8489,28.4808,62.4733,91.6762,88.3852,74.4357,58.5822
2024-05-12,-17.9983,-9.5233,-1.537,-0.9993,-0.9993,-0.9994,-0.9993,-4.4825,0.0,0.0,-10.9901,0.0,0.0,0.0,-4.4837,-6.4971,-4.523,-2.7931,-2.296,-2.8592,-4.9457,-4.4544,-3.4694,-2.8512,40.5839,31.0606,29.5236,28.5243,27.525,26.5256,25.5263,21.0438,25.5981,27.3907,16.4006,42.004,82.1352,85.6719,81.1882,74.6911,70.1681,67.375,65.079,62.2198,57.2741,52.8197,49.3503,46.4991
2024-05-13,0.0,-5.4598,-1.8413,-0.9695,-0.9695,-0.9694,-0.9958,-1.7105,-4.3872,0.0,0.0,-6.8501,-5.9233,0.0,0.0,-4.7539,-4.4418,-3.8515,-5.139,-8.1159,0.0,-5.1291,-14.1568,-12.4443,48.1447,42.6849,40.8436,39.8741,38.9046,37.9352,36.9394,35.2289,30.8417,34.4203,37.9844,31.1343,25.211,78.2489,86.6008,81.8469,77.4051,73.5536,68.4146,60.2987,90.8404,85.7113,71.5545,59.1102
2024-05-14,-12.7326,-3.1626,-0.9963,-0.9963,-0.9963,-0.7394,-0.6639,-0.664,-3.0795,-3.5525,0.0,-4.9037,-4.9141,-3.8564,-4.6655,-2.9239,-1.3032,0.0,0.0,0.0,-14.4947,-11.2477,0.0,-15.999,46.3776,43.215,42.2187,41.2224,40.2261,39.4867,38.8228,38.1588,35.0793,31.5268,50.7261,45.8224,40.9083,37.0519,32.3864,29.4625,28.1593,70.2099,76.5717,87.4933,72.9986,61.7509,87.0015,71.0025
2024-05-15,-14.5005,-6.9994,-4.2237,-1.2829,-1.2829,-1.1619,-1.0104,-1.0104,0.0,-13.7147,0.0,0.0,0.0,-4.6446,-6.8563,-4.5412,-4.1937,-2.9783,-6.7216,-4.836,0.0,0.0,-8.2337,-13.9986,56.502,49.5026,45.2789,43.996,42.7131,41.5512,40.5408,39.5304,48.9535,35.2388,49.0926,60.8059,95.063,90.4184,83.5621,79.0209,74.8272,71.8489,65.1273,60.2913,75.7332,87.7271,79.4934,65.4948
2024-05-16,-8.0616,-2.2968,-0.9842,-0.9843,-0.9842,-1.1457,-1.1827,-1.1827,0.0,-10.3063,0.0,-5.2927,-7.0492,-5.0312,-2.9257,0.0,0.0,-6.9518,0.0,-2.5088,-5.6534,-6.2485,-8.3519,0.0,57.4332,55.1364,54.1522,53.1679,52.1837,51.038,49.8553,48.6726,48.8994,38.5931,55.1439,49.8512,42.802,37.7708,34.8451,95.2389,95.5824,88.6306,93.5293,91.0205,85.3671,79.1186,70.7667,72.841
2024-05-17,-10.3462,-2.8616,-1.2871,-1.2872,-1.2871,-1.2871,-0.715,-0.3694,-0.3695,0.0,0.0,-6.6967,-1.7905,0.0,-6.4282,-5.8151,-4.377,-5.9823,-4.1014,-3.3096,0.0,-8.6115,-21.9847,-14.9984,62.4948,59.6332,58.3461,57.0589,55.7718,54.4847,53.7697,53.4003,53.0308,59.6542,83.2084,76.5117,74.7212,89.0013,82.5731,76.758,72.381,66.3987,62.2973,58.9877,94.2944,85.6829,63.6982,48.6998
2024-05-18,-3.6998,-1.5065,-0.7207,-0.7207,-0.7207,-0.7207,-0.7207,-0.7207,0.0,-14.4049,-12.454,-10.9991,0.0,0.0,-9.937,-11.6056,-3.8036,-5.1836,-4.5685,-12.6749,-14.1487,0.0,0.0,-15.6766,45.0,43.4935,42.7728,42.0521,41.3314,40.6107,39.89,39.1693,59.4942,45.0893,32.6353,21.6362,85.5893,97.5241,87.5871,75.9815,72.1779,66.9943,62.4258,49.7509,35.6022,51.7546,88.1783,72.5017
2024-05-19,-15.6639,-3.5535,-1.1904,-1.2605,-1.2606,-1.2606,-1.569,-5.992,0.0,-18.9506,-15.2573,0.0,0.0,-7.9938,0.0,-10.5385,-5.6839,-6.7355,-6.3697,-5.1152,-13.3659,-7.9248,0.0,-7.6571,56.8378,53.2843,52.0939,50.8334,49.5728,48.3122,46.7432,40.7512,44.7524,25.8018,10.5445,26.5455,95.5415,87.5477,94.763,84.2245,78.5406,71.8051,65.4354,60.3202,46.9543,39.0295,52.7097,45.0526
2024-05-20,-11.999,-2.5967,-1.361,-1.101,-1.101,-1.101,-1.101,-1.101,0.0,0.0,0.0,-8.4582,-10.2552,-6.1813,-4.5585,0.0,0.0,-3.806,-4.547,-6.0473,-19.1738,-10.865,-12.5934,-10.455,33.0536,30.4569,29.0959,27.9949,26.8939,25.7929,24.6919,23.5909,29.9574,34.6619,64.569,56.1108,45.8556,39.6743,35.1158,51.2696,99.277,95.471,90.924,84.8767,65.7029,54.8379,42.2445,31.7895
2024-05-21,-1.4408,-1.4407,-1.4408,-1.4408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0068,-11.2891,-8.9858,-3.0823,0.0,-2.1433,-5.0303,-7.6753,-6.151,-0.0247,-14.0842,-11.6515,0.0,30.3487,28.908,27.4672,26.0264,29.1771,32.4135,35.6499,38.8863,41.2441,56.0826,60.0463,52.0395,40.7504,31.7646,28.6823,70.2387,68.0954,63.0651,55.3898,49.2388,49.2141,35.1299,23.4784,33.6596
2024-05-22,-9.3665,-1.8251,-1.0838,-1.0837,-1.0837,-1.0837,-1.0837,0.0,0.0,0.0,0.0,-6.0432,-3.2443,0.0,0.0,-4.274,-7.3224,-6.3728,-5.4947,-4.6114,-14.5594,-8.2283,0.0,-11.4162,24.2931,22.468,21.3842,20.3005,19.2168,18.1331,17.0494,17.1649,25.1715,33.9544,46.8085,40.7653,37.521,55.3373,89.248,84.974,77.6516,71.2788,65.7841,61.1727,46.6133,38.385,54.4955,43.0793
2024-05-23,-16.2687,-2.1593,-1.4464,-1.3967,-1.149,-1.1489,-1.149,-1.1489,0.0,-11.9759,0.0,-6.136,-7.0188,-5.4702,-5.121,0.0,0.0,0.0,-7.1377,-13.8525,-15.2251,-13.6581,0.0,-18.9979,26.8106,24.6513,23.2049,21.8082,20.6592,19.5103,18.3613,17.2124,70.9815,59.0056,59.96,53.824,46.8052,41.335,36.214,48.5795,61.5964,84.0313,76.8936,63.0411,47.816,34.1579,38.9072,19.9093
2024-05-24,0.0,-2.6091,-0.9308,-0.9308,-0.9308,-0.9308,-0.9308,-0.9308,0.0,0.0,0.0,-3.14,-4.9873,-5.1372,-4.5321,-5.529,-7.8948,0.0,0.0,-2.8625,-15.9989,-10.6274,-15.1324,0.0,21.2811,18.672,17.7412,16.8104,15.8796,14.9488,14.018,13.0872,27.8727,59.8918,61.7901,58.6501,53.6628,48.5256,43.9935,38.4645,30.5697,48.4016,70.7413,67.8788,51.8799,41.2525,26.1201,49.8808
2024-05-25,-10.9736,-0.9955,-0.9955,-0.9955,-0.7653,0.0,0.0,0.0,-2.5939,-6.4809,0.0,0.0,0.0,0.0,-2.5241,-1.9274,-1.5486,-1.5486,0.0,-11.5369,-15.9193,-17.9574,-7.4441,0.0,38.9072,37.9117,36.9162,35.9207,35.1554,37.2238,39.2922,43.0923,40.4984,34.0175,42.6,49.5693,49.7362,74.8417,72.3176,70.3902,68.8416,67.293,68.2188,56.6819,40.7626,22.8052,15.3611,42.4663
2024-05-26,-11.5096,-7.0397,-0.9141,-0.9142,-0.9141,-0.9142,-0.9141,-1.7413,-2.2456,0.0,-11.6924,0.0,0.0,-11.9895,0.0,-8.6099,-0.9716,-3.8483,-8.7112,-11.1202,-10.8112,0.0,0.0,-13.1118,30.9567,23.917,23.0029,22.0887,21.1746,20.2604,19.3463,17.605,15.3594,35.1082,23.4158,25.1752,61.0187,49.0292,72.3732,63.7633,62.7917,58.9434,50.2322,39.112,28.3008,35.9719,62.452,49.3402
2024-05-27,-5.2722,-1.2792,-1.2545,-1.2544,-1.0248,-0.9589,-0.9589,-0.9588,0.0,0.0,-4.7276,-5.1112,-3.1928,-2.9589,-3.3354,-6.6225,-0.7947,0.0,-3.0456,0.0,-13.9983,0.0,0.0,-11.9188,44.068,42.7888,41.5343,40.2799,39.2551,38.2962,37.3373,36.3785,53.9264,70.7092,65.9816,60.8704,57.6776,54.7187,51.3833,44.7608,43.9661,44.8746,41.829,43.8779,29.8796,34.7045,40.1601,28.2413
2024-05-28,0.0,0.0,-2.012,-1.805,-1.4564,-1.3484,-1.3485,-2.0449,0.0,-13.2799,-6.783,0.0,-8.6651,-10.1885,-12.2926,0.0,-5.2161,-7.4872,-9.1844,-8.1462,-9.0965,-6.3799,-4.5622,-6.2035,32.9496,61.2436,59.2316,57.4266,55.9702,54.6218,53.2733,51.2284,54.9255,41.6456,34.8626,67.0219,58.3568,48.1683,35.8757,85.9242,80.7081,73.2209,64.0365,55.8903,46.7938,40.4139,35.8517,29.6482
