Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3804,0.0,0.0,0.0,-12.328,0.0,-6.3139,-5.5539,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,12.6196,25.0536,44.017,60.6413,48.3133,54.1974,47.8835,42.3296
2024-05-07,-5.9241,-9.3654,-3.1446,-2.4147,-2.0073,-1.3612,-1.3612,-1.3612,-1.3612,0.0,0.0,-5.7099,0.0,-7.349,0.0,0.0,-1.9238,-2.7634,-3.6184,-6.5248,-7.1627,-4.3016,-3.9222,-5.6373,36.4055,27.0401,23.8955,21.4808,19.4735,18.1123,16.7511,15.3899,14.0287,21.7711,24.8918,19.1819,43.5958,36.2468,41.2413,81.2565,79.3327,76.5693,72.9509,66.4261,59.2634,54.9618,51.0396,45.4023
2024-05-08,-7.3991,-4.3752,-2.4153,-1.0219,-0.8873,-0.8874,-0.8873,-0.8873,-1.4412,-2.8867,0.0,-4.2181,-3.3306,0.0,0.0,-5.892,-2.8948,-1.9937,-2.8923,-6.9979,-5.1685,-12.2716,-5.5851,-2.306,38.0032,33.628,31.2127,30.1908,29.3035,28.4161,27.5288,26.6415,25.2003,22.3136,37.7627,33.5446,30.214,60.5143,97.5004,91.6084,88.7136,86.7199,83.8276,76.8297,71.6612,59.3896,53.8045,51.4985
2024-05-09,-1.1796,-1.1796,-1.2675,-3.7478,-5.7305,-5.2353,-1.2273,-1.2274,-1.2153,-1.1991,-3.1601,-5.67,0.0,0.0,-6.4211,-4.6562,-3.3887,-2.3196,-3.279,-4.3264,-4.4045,-2.6007,0.0,-9.548,50.3189,49.1393,47.8718,44.124,38.3935,33.1582,31.9309,30.7035,29.4882,28.2891,25.129,19.459,28.3768,51.5291,45.108,40.4518,37.0631,34.7435,31.4645,27.1381,22.7336,20.1329,48.9155,39.3675
2024-05-10,-8.5516,-2.9163,-4.8444,-2.5475,-1.2974,-1.4483,-1.0162,-1.7568,-0.9373,-2.2156,-3.6262,0.0,0.0,-7.1766,-7.7454,-6.7401,-3.8565,-4.231,-2.6494,-4.6066,-6.4418,-10.8417,-8.0658,-8.5382,30.8159,27.8996,23.0552,20.5077,19.2103,17.762,16.7458,14.989,14.0517,11.8361,8.2099,53.8789,96.7555,89.5789,81.8335,75.0934,71.2369,67.0059,64.3565,59.7499,53.3081,42.4664,34.4006,25.8624
2024-05-11,0.0,0.0,-2.9163,-0.8876,-1.6109,-1.0343,-0.9288,-0.9631,-1.3697,-1.7983,-3.9302,-14.5752,-3.9864,-2.8088,-4.6296,-6.6847,-4.6137,-4.6749,-5.9809,-9.2567,0.0,0.0,-1.5574,-8.5161,42.9354,87.7525,84.8362,83.9486,82.3377,81.3034,80.3746,79.4115,78.0418,76.2435,72.3133,57.7381,53.7517,50.9429,46.3133,39.6286,35.0149,30.34,24.3591,15.1024,39.9653,87.7111,86.1537,77.6376
2024-05-12,-17.4472,0.0,-1.4603,-2.6818,-1.522,-1.5,-1.4071,-0.9997,-2.0913,-4.7568,-4.9431,-5.0969,-5.2253,-10.9227,-5.2387,-1.1225,-2.1999,-1.5416,-3.7517,0.0,0.0,-7.3886,-9.2962,-17.8053,60.1904,75.9875,74.5272,71.8454,70.3234,68.8234,67.4163,66.4166,64.3253,59.5685,54.6254,49.5285,44.3032,33.3805,28.1418,27.0193,24.8194,23.2778,19.5261,42.3424,55.575,48.1864,38.8902,21.0849
2024-05-13,0.0,0.0,0.0,-0.7797,-0.7139,-0.7139,-0.7138,-0.7139,-0.957,-1.3408,-4.976,-12.9781,-8.4471,-11.6728,0.0,0.0,-2.9468,-5.4921,-3.331,-7.9986,-10.5383,-4.1867,-6.2422,-16.2688,47.2771,61.6712,65.0723,64.2926,63.5787,62.8648,62.151,61.4371,60.4801,59.1393,54.1633,41.1852,32.7381,21.0653,45.2042,92.0045,89.0577,83.5656,80.2346,72.236,61.6977,57.511,51.2688,35.0
2024-05-14,-4.9944,-1.6243,-1.6127,-1.3125,-1.2543,-1.3827,-0.7834,-1.3986,-3.1286,0.0,0.0,-6.9739,-4.8086,-6.4339,-3.242,-2.4942,-3.3167,-4.4523,-2.073,-6.4777,-9.1559,-6.9149,-4.7606,-14.0869,30.0056,28.3813,26.7686,25.4561,24.2018,22.8191,22.0357,20.6371,17.5085,45.9505,92.1906,85.2167,80.4081,73.9742,70.7322,68.238,64.9213,60.469,58.396,51.9183,42.7624,35.8475,31.0869,17.0
2024-05-15,0.0,0.0,0.0,-7.8566,-2.317,-2.9054,-1.3741,-1.578,-1.7715,-2.5588,-7.9331,-14.3514,0.0,-9.6107,-5.3013,-8.9069,-5.6456,-3.3432,-4.1818,0.0,0.0,-9.5964,-5.2483,-12.5404,35.2121,77.0304,80.6459,72.7893,70.4723,67.5669,66.1928,64.6148,62.8433,60.2845,52.3514,38.0,54.3541,44.7434,39.4421,30.5352,24.8896,21.5464,17.3646,42.8899,69.0789,59.4825,54.2342,41.6938
