Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6005,-3.1719,-2.0502,-2.0554,-3.2996,-8.3829,-10.0019,-16.0311,0.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,73.3995,70.2276,68.1774,66.122,62.8224,54.4395,44.4376,28.4065,67.3163
2024-05-07,0.0,0.0,-2.377,-2.8517,-0.6097,-0.6097,-0.704,-1.0504,-1.0504,-1.7967,-2.3423,-4.3509,-3.1048,-2.4889,-2.6334,-4.1509,-3.6464,-3.8408,-3.3193,-2.8036,-9.49,-4.7064,-1.4696,-1.475,99.4313,99.9273,97.5503,94.6986,94.0889,93.4792,92.7752,91.7248,90.6744,88.8777,86.5354,82.1845,79.0797,76.5908,73.9574,69.8065,66.1601,62.3193,59.0,56.1964,46.7064,42.0,40.5304,39.0554
2024-05-08,-1.0554,-0.6102,-0.6376,-0.471,-0.471,-0.471,-0.718,-1.3541,-2.0935,-4.5618,-5.7658,-4.0887,0.0,0.0,0.0,-1.2017,-2.3874,-3.2478,-2.3226,-2.9056,-6.3901,-7.2275,-10.0232,-7.4766,38.0,37.3898,36.7522,36.2812,35.8102,35.3392,34.6212,33.2671,31.1736,26.6118,20.846,16.7573,32.3878,97.3282,100.0,98.7983,96.4109,93.1631,90.8405,87.9349,81.5448,74.3173,64.2941,56.8175
2024-05-09,0.0,0.0,-2.5365,-2.9401,-4.2251,-1.172,-0.9075,-0.9074,-1.4055,-2.905,-6.1766,-2.9645,-3.102,-3.3682,-4.5804,-8.0765,-3.8544,-4.6389,-2.4767,-1.1706,-6.1603,-6.8478,0.0,0.0,90.7831,100.0,97.4635,94.5234,90.2983,89.1263,88.2188,87.3114,85.9059,83.0009,76.8243,73.8598,70.7578,67.3896,62.8092,54.7327,50.8783,46.2394,43.7627,42.5921,36.4318,29.584,64.4321,85.8828
2024-05-10,0.0,-1.2123,-1.0421,-1.042,-1.042,-1.0421,-1.042,-1.0421,-1.042,-1.0421,-1.042,-1.0421,-1.042,-1.0421,-1.042,-1.042,-1.0421,-1.042,-1.0421,-1.042,-1.0421,-1.042,-1.0421,-1.042,99.6622,98.4499,97.4078,96.3658,95.3238,94.2817,93.2397,92.1976,91.1556,90.1135,89.0715,88.0294,86.9874,85.9453,84.9033,83.8613,82.8192,81.7772,80.7351,79.6931,78.651,77.609,76.5669,75.5249
2024-05-11,-1.0421,-1.6148,-1.179,-0.6108,-0.8311,-0.8635,-0.8635,-1.853,-0.9983,0.0,0.0,-6.0989,-2.2089,-0.7149,-1.1963,-0.8712,-3.4066,-3.6203,-7.3711,-3.5019,-4.2061,-6.0279,-2.2727,-1.3797,74.4828,72.868,71.689,71.0782,70.2471,69.3836,68.5201,66.6671,65.6688,91.6016,94.4968,88.3979,86.189,85.4741,84.2778,83.4066,80.0,76.3797,69.0086,65.5067,61.3006,55.2727,53.0,51.6203
2024-05-12,-6.9595,-7.9992,-2.1336,-0.7072,-0.7073,-0.7073,-0.7073,-0.7072,-0.7073,-5.3151,-0.8724,-1.043,-5.7502,-4.8706,0.0,0.0,-3.2041,-1.2753,-3.8838,-1.8603,-1.1288,-1.2488,-2.6897,-6.4564,44.6608,36.6616,34.528,33.8208,33.1135,32.4062,31.6989,30.9917,30.2844,24.9693,24.0969,23.0539,17.3037,12.4331,51.9158,67.6116,64.4075,63.1322,59.2484,57.3881,56.2593,55.0105,52.3208,45.8644
2024-05-13,-7.8335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0309,38.1851,39.5458,40.9066,42.2674,43.6281,44.9889,46.3496,47.7104,49.0712,50.4319,51.7927,53.1534,54.5142,55.875,57.2357,58.5965,59.9572,61.318,62.6788,64.0395,65.4003,66.7611,68.1218
2024-05-14,0.0,-0.6893,-0.559,-0.7701,-0.9224,-0.9225,-0.9224,-1.612,0.0,0.0,-4.0713,-2.2251,-3.0396,-4.6183,-3.0587,-3.5209,-3.4457,-4.9874,-3.0893,-4.3424,-8.9121,0.0,0.0,0.0,69.4826,68.7933,68.2343,67.4642,66.5418,65.6193,64.6969,63.0849,95.3253,99.0563,94.985,92.7599,89.7203,85.102,82.0433,78.5224,75.0767,70.0893,67.0,62.6576,53.7455,57.0779,94.2456,99.4758
2024-05-15,-2.9393,-1.3102,-1.2638,-0.5852,-0.5853,-0.5853,-0.5853,-0.5853,-1.8202,-4.1341,-5.7879,-3.4854,-3.347,-3.1667,-1.2948,-3.5494,-4.5699,-1.5821,-1.2558,-2.638,-8.8776,-16.2607,-9.0338,0.0,96.5365,95.2263,93.9625,93.3773,92.792,92.2067,91.6214,91.0361,89.2159,85.0818,79.2939,75.8085,72.4615,69.2948,68.0,64.4506,59.8807,58.2986,57.0428,54.4048,45.5272,29.2665,20.2327,53.1821
