Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7886,-4.9068,-4.5846,-3.7558,-4.9,-23.6896,0.0,0.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,51.2114,46.3046,41.72,37.9642,33.0642,9.3746,26.9768,38.3691,75.3631
2024-05-07,0.0,-5.4021,-12.4887,-7.8458,-1.3783,-1.3782,-1.4688,-1.4801,-2.0515,-1.9114,-5.9589,-12.8116,0.0,0.0,0.0,-6.2052,-6.6339,-8.2695,-3.0046,-4.5402,-20.916,-9.3665,-22.0807,0.0,82.6475,77.2454,64.7567,56.9109,55.5326,54.1544,52.6856,51.2055,49.154,47.2426,41.2837,28.4721,31.2191,81.031,96.2848,90.0796,83.4457,75.1762,72.1716,67.6314,46.7154,37.3489,15.2682,50.0367
2024-05-08,0.0,-12.8504,-2.4391,-1.336,-1.3359,-1.3359,-0.9066,-0.9041,-0.9042,-5.0692,-3.4598,-9.9544,0.0,0.0,-4.105,-4.5024,-3.7781,-3.5471,-3.5922,-9.2834,-4.7616,-8.5729,-15.9425,-18.5624,62.3047,49.4543,47.0152,45.6792,44.3433,43.0074,42.1008,41.1967,40.2925,35.2233,31.7635,21.8091,66.5495,99.5248,95.4198,90.9174,87.1393,83.5922,80.0,70.7166,65.955,57.3821,41.4396,22.8772
2024-05-09,0.0,0.0,-5.3852,-6.2241,-8.7054,-0.97,-1.1351,-1.2527,-1.2527,-1.2527,-14.1642,-18.2322,-4.9629,0.0,0.0,-2.6047,-10.634,-7.2117,-4.9766,-6.3528,-14.0164,-8.4903,-2.9641,0.0,61.0633,89.6881,84.3029,78.0788,69.3734,68.4034,67.2683,66.0156,64.7629,63.5102,49.346,31.1138,26.1509,50.4237,79.0,76.3953,65.7613,58.5496,53.573,47.2202,33.2038,24.7135,21.7494,76.3715
2024-05-10,0.0,-6.2799,-1.7735,-1.7735,-1.252,-1.1956,-1.1956,-1.1956,-1.1956,-2.173,-4.2548,-28.0879,-5.7187,0.0,0.0,-17.3124,-11.8148,-5.4129,-8.7708,-14.2963,0.0,0.0,-3.1741,-15.7384,100.0,93.7201,91.9466,90.1731,88.9211,87.7255,86.5299,85.3343,84.1387,81.9657,77.7109,49.623,43.9043,94.464,97.651,80.3386,68.5238,63.1109,54.3401,40.0438,89.2771,89.8584,86.6843,70.9459
2024-05-11,-18.4488,-6.5051,-3.5,-1.4199,-1.3154,-0.993,-0.9931,-0.9931,-0.993,-0.9931,-1.3438,-4.432,-16.4796,0.0,0.0,-0.8347,-1.8755,-10.5318,0.0,0.0,-10.5116,-7.0183,-5.1241,-19.9854,52.4971,45.992,42.492,41.0721,39.7567,38.7637,37.7706,36.7775,35.7845,34.7914,33.4476,29.0156,12.536,69.1429,94.4713,93.6366,91.7611,81.2293,89.9835,92.4107,81.8991,74.8808,69.7567,49.7713
2024-05-12,0.0,-1.2643,-1.5808,-1.3111,-1.282,-1.2819,-1.3166,-17.4288,-1.851,-1.9689,-3.1526,-1.5884,0.0,-10.1807,-5.4009,-8.8151,-6.3519,-5.2191,0.0,0.0,-7.088,-4.8678,-4.1204,-10.8958,64.0,62.7357,61.1549,59.8438,58.5618,57.2799,55.9633,38.5345,36.6835,34.7146,31.562,29.9736,58.8528,48.6721,43.2712,34.4561,28.1042,22.8851,63.9246,100.0,92.912,88.0442,83.9238,73.028
2024-05-13,0.0,-2.2842,-5.7658,-6.0679,-1.4337,-1.4337,-1.4337,-1.4336,-1.5655,-1.5956,-9.6316,-19.0324,-5.6594,-9.0729,-5.1135,-5.6986,0.0,0.0,-4.8474,-8.3472,-11.856,-22.7368,-14.7177,-4.1766,99.1194,96.8352,91.0694,85.0015,83.5678,82.1341,80.7004,79.2668,77.7013,76.1057,66.4741,47.4417,41.7823,32.7094,27.5959,21.8973,44.0919,99.3598,94.5124,86.1652,74.3092,51.5724,36.8547,32.6781
2024-05-14,0.0,0.0,-16.4691,-9.7091,-2.2626,-1.8526,-1.2211,-1.2211,-1.2211,-1.2211,-4.6466,-23.6406,-7.3334,0.0,0.0,-5.2572,-6.0972,-5.4318,-4.3528,-4.447,0.0,0.0,-18.9291,-3.822,71.1588,93.8128,77.3437,67.6346,65.372,63.5194,62.2983,61.0772,59.8561,58.635,53.9884,30.3478,23.0144,39.4254,70.7672,65.51,59.4128,53.981,49.6282,45.1812,56.6861,99.8272,80.8981,77.0761
2024-05-15,-17.3937,-3.3144,-1.6344,-1.2562,-1.2561,-1.2508,-1.0658,-1.0657,-1.3706,-2.4989,-19.6347,0.0,-6.0726,-5.9039,-3.8826,-2.0426,-3.6285,0.0,0.0,-4.9278,-5.7406,-3.3878,-20.4646,-3.6747,59.6824,56.368,54.7336,53.4774,52.2213,50.9705,49.9047,48.839,47.4684,44.9695,25.3348,46.2678,40.1952,34.2913,30.4087,28.3661,24.7376,27.4855,85.9308,81.003,75.2624,71.8746,51.41,47.7353
