Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-05,0.0,0.0,0.0,-5.6341,-3.9816,-0.7044,-0.6953,-0.7299,-0.9811,-1.0341,-1.627,-6.3883,-3.0353,-4.2456,-4.6685,-4.2243,-2.6745,-7.3516,-5.0635,-4.1846,-9.3519,-12.014,-4.5076,0.0,39.0,87.1796,99.6268,93.9927,90.0111,89.3067,88.6114,87.8815,86.9004,85.8663,84.2393,77.851,74.8157,70.5701,65.9016,61.6773,59.0028,51.6512,46.5877,42.4031,33.0512,21.0372,16.5296,21.9186
2024-05-06,0.0,0.0,-0.9105,-0.9104,-0.633,-0.5996,-0.5996,-0.5996,-0.5996,-0.5996,-1.2015,-3.4853,-3.5057,-2.0944,-4.9138,-4.9141,-5.2057,-2.7697,-3.2534,-5.3578,-4.3237,-6.1004,-6.0357,-6.5391,56.1725,82.9185,82.008,81.0976,80.4646,79.865,79.2654,78.6658,78.0662,77.4666,76.2651,72.7798,69.2741,67.1797,62.2659,57.3518,52.1461,49.3764,46.123,40.7652,36.4415,30.3411,24.3054,17.7663
2024-05-07,-11.7663,0.0,0.0,-6.1779,-0.8371,-0.8372,-0.8371,-1.1631,-1.1194,-0.6929,-5.9358,0.0,-2.9933,-5.9531,-7.7836,-5.9314,0.0,0.0,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,6.0,14.7036,34.8302,28.6523,27.8152,26.978,26.1409,24.9778,23.8584,23.1655,17.2297,53.396,50.4027,44.4496,36.666,30.7346,89.2695,89.7724,89.362,88.9517,88.5413,88.1309,87.7205,87.3102
2024-05-08,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,86.8998,86.4894,86.0791,85.6687,85.2583,84.8479,84.4376,84.0272,83.6168,83.2064,82.7961,82.3857,81.9753,81.565,81.1546,80.7442,80.3338,79.9235,79.5131,79.1027,78.6923,78.282,77.8716,77.4612
2024-05-09,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,77.0509,76.6405,76.2301,75.8197,75.4094,74.999,74.5886,74.1782,73.7679,73.3575,72.9471,72.5368,72.1264,71.716,71.3056,70.8953,70.4849,70.0745,69.6642,69.2538,68.8434,68.433,68.0227,67.6123
2024-05-10,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,67.2019,66.7915,66.3812,65.9708,65.5604,65.1501,64.7397,64.3293,63.9189,63.5086,63.0982,62.6878,62.2774,61.8671,61.4567,61.0463,60.636,60.2256,59.8152,59.4048,58.9945,58.5841,58.1737,57.7634
2024-05-11,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,57.353,56.9426,56.5322,56.1219,55.7115,55.3011,54.8907,54.4804,54.07,53.6596,53.2493,52.8389,52.4285,52.0181,51.6078,51.1974,50.787,50.3766,49.9663,49.5559,49.1455,48.7352,48.3248,47.9144
2024-05-12,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4103,-0.4104,-0.4104,-0.4104,-0.4103,-0.4104,-1.2523,-3.3224,-1.6986,47.504,47.0937,46.6833,46.2729,45.8625,45.4522,45.0418,44.6314,44.2211,43.8107,43.4003,42.9899,42.5796,42.1692,41.7588,41.3485,40.9381,40.5277,40.1173,39.707,39.2966,38.0443,34.7219,33.0233
2024-05-13,-3.0571,-7.9249,-10.6521,-2.4123,-0.6439,-0.644,-0.6439,-0.6439,0.0,0.0,0.0,-6.1006,-4.7597,-7.7574,-1.8848,-2.1605,-1.2777,-0.3108,0.0,0.0,0.0,-3.6358,-3.9301,-5.5395,29.9662,22.0413,11.3892,8.9769,8.333,7.689,7.0451,6.4012,9.7541,19.7113,33.2515,27.1509,22.3912,14.6338,12.749,10.5885,9.3108,9.0,13.3986,46.8883,60.4475,56.8117,52.8816,47.3421
2024-05-14,-4.9658,-5.9388,-3.0244,-1.5314,-3.4042,-3.4775,-3.0,-3.5213,-2.9996,-4.5201,0.0,0.0,-3.312,-5.5859,-5.7382,-7.3248,-1.82,0.0,-10.1426,0.0,-3.3903,-3.4123,-5.9042,-7.1022,42.3763,36.4375,33.4131,31.8817,28.4775,25.0,22.0,18.4787,15.4791,10.959,43.3468,44.328,41.016,35.4301,29.6919,22.3671,20.5471,54.1322,43.9896,60.8462,57.4559,54.0436,48.1394,41.0372
2024-05-15,-8.6782,-6.9993,-5.0041,-1.1111,-1.1111,-1.1111,-0.5941,-0.5836,-0.5835,-2.3738,0.0,0.0,-8.1532,0.0,0.0,-2.4957,-7.2603,-4.4928,-6.3764,-6.1813,-4.8404,-5.2047,-4.9925,-13.2176,32.359,25.3597,20.3556,19.2445,18.1334,17.0223,16.4282,15.8446,15.2611,12.8873,28.6332,38.1145,29.9613,52.3727,75.4597,72.964,65.7037,61.2109,54.8345,48.6532,43.8128,38.6081,33.6156,20.398
2024-05-16,-13.195,-0.7546,0.0,0.0,-3.3388,-0.933,-0.9331,-1.0787,-1.1897,-1.1897,-1.2328,-1.6008,-3.5424,0.0,0.0,-4.0601,-1.8459,-1.9122,-2.0106,-1.5551,-3.983,-10.2408,-3.637,-3.3596,7.203,6.4484,49.7141,52.6085,49.2697,48.3367,47.4036,46.3249,45.1352,43.9455,42.7127,41.1119,37.5695,87.7901,89.2035,85.1434,83.2975,81.3853,79.3747,77.8196,73.8366,63.5958,59.9588,56.5992
2024-05-17,-4.3812,-11.269,-12.0993,-5.6023,-0.8688,-0.6581,-0.658,-0.6581,-1.073,-1.7343,0.0,0.0,-5.728,-3.4985,-2.6133,-1.2596,0.0,-3.0326,-3.3819,-3.2982,-6.9291,-8.8532,-5.2731,-0.6947,52.218,40.949,28.8497,23.2474,22.3786,21.7205,21.0625,20.4044,19.3314,17.5971,35.4533,36.0994,30.3714,26.8729,24.2596,23.0,39.3444,36.3118,32.9299,29.6317,22.7026,13.8494,8.5763,7.8816
2024-05-18,0.0,0.0,-3.9546,-1.5441,-0.7913,-0.7914,-0.7913,-0.718,-0.6841,-0.6842,-7.6624,-7.7006,0.0,0.0,0.0,0.0,-4.4697,-1.4621,-2.425,-8.3541,-6.4698,-3.3522,-5.4198,-9.482,19.9434,30.1227,26.1681,24.624,23.8327,23.0413,22.25,21.532,20.8479,20.1637,12.5013,4.8007,14.7664,18.6748,84.479,95.4694,90.9997,89.5376,87.1126,78.7585,72.2887,68.9365,63.5167,54.0347
2024-05-19,-12.2575,-9.0935,-8.287,-1.8701,-7.7616,0.0,0.0,-0.6157,-0.6157,-0.6158,-0.6157,-2.9606,-7.4213,-4.8298,-3.4741,-6.4921,-4.15,-13.5931,0.0,0.0,-1.172,-2.0253,-1.3497,-4.3976,41.7772,32.6837,24.3967,22.5266,14.765,15.4116,56.9518,56.3361,55.7204,55.1046,54.4889,51.5283,44.107,39.2772,35.8031,29.311,25.161,11.5679,34.0836,95.8138,94.6418,92.6165,91.2668,86.8692
2024-05-20,-1.0956,-0.8421,-0.8421,-0.7156,-0.7006,-0.7006,-0.7006,-0.7981,-0.86,-1.0064,-1.3716,-2.8313,-2.4921,-1.8895,-2.4267,-2.8715,-3.8619,-4.5793,-6.8362,-10.434,-4.7287,-2.2835,-4.8176,-8.0325,85.7736,84.9315,84.0894,83.3738,82.6732,81.9726,81.272,80.4739,79.6139,78.6075,77.2359,74.4046,71.9125,70.023,67.5963,64.7248,60.8629,56.2836,49.4474,39.0134,34.2847,32.0012,27.1836,19.1511
2024-05-21,-1.4948,0.0,0.0,0.0,0.0,-0.4775,-2.3491,-1.0442,-0.9893,-0.9817,-2.5726,-3.9397,-2.8468,-1.5807,-3.0481,-4.0937,-3.1897,-1.32,-3.7194,-7.049,-8.5273,-6.5496,-3.7494,-3.0884,17.6563,27.8805,56.4015,91.3784,100.0,99.5225,97.1734,96.1292,95.1399,94.1582,91.5856,87.6459,84.7991,83.2184,80.1703,76.0766,72.8869,71.5669,67.8475,60.7985,52.2712,45.7216,41.9722,38.8838
2024-05-22,-2.3992,-1.4799,-9.3143,-2.8764,-1.5037,-1.034,-0.912,-0.9119,-0.96,-1.0073,-4.9279,0.0,0.0,-2.1446,-4.9703,-4.8774,-2.6052,-2.541,-8.421,-6.1655,-4.0118,-9.7687,0.0,0.0,36.4846,35.0047,25.6904,22.814,21.3103,20.2763,19.3643,18.4524,17.4924,16.4851,11.5572,54.4684,59.401,57.2564,52.2861,47.4087,44.8035,42.2625,33.8415,27.676,23.6642,13.8955,16.2435,39.4486
2024-05-23,-3.4486,-3.1892,-6.9867,-1.1446,-1.1446,-0.8915,-0.6694,-0.6694,-0.6694,-1.0468,-9.2845,0.0,0.0,0.0,-3.2974,-1.1698,-1.9127,-7.0429,-4.1956,-5.5779,-8.9202,-4.0315,-6.809,-6.2235,36.0,32.8108,25.8241,24.6795,23.5349,22.6434,21.974,21.3046,20.6352,19.5884,10.3039,14.344,89.0205,90.1933,86.8959,85.7261,83.8134,76.7705,72.5749,66.997,58.0768,54.0453,47.2363,41.0128
2024-05-24,-3.9743,-1.7719,-2.3357,-0.8496,-0.8496,-0.8496,-0.8496,-1.2066,-1.8062,-2.4237,-7.5954,-6.0506,0.0,0.0,-8.4913,-3.9997,-5.9911,-9.0555,0.0,0.0,-5.9225,-5.5359,-3.9131,-11.9523,37.0385,35.2666,32.9309,32.0813,31.2317,30.3821,29.5325,28.3259,26.5197,24.096,16.5006,10.45,14.6601,36.3865,27.8952,23.8955,17.9044,8.8489,13.148,58.6645,52.742,47.2061,43.293,31.3407
2024-05-25,-6.3789,-7.7276,-3.4172,-1.0408,-1.0408,-1.0408,-0.979,-0.8547,-0.8547,-0.8547,-1.3235,-1.4243,0.0,0.0,-2.3873,-1.5138,-1.2615,-0.6738,-5.4367,-2.543,-5.9024,-3.1568,-4.5319,-4.0895,24.9618,17.2342,13.817,12.7762,11.7354,10.6946,9.7156,8.8609,8.0062,7.1515,5.828,4.4037,67.0358,71.8592,69.4719,67.9581,66.6966,66.0228,60.5861,58.0431,52.1407,48.9839,44.452,40.3625
2024-05-26,-1.3597,-1.7315,-5.2005,-6.6987,-2.5206,-1.7169,-2.1569,-1.4352,-0.825,-0.8251,-0.8251,-1.1708,-1.1844,-1.1339,-1.1541,-1.1751,0.0,0.0,-9.6107,-5.363,-11.0325,-7.6928,-4.8807,-1.7177,39.0028,37.2713,32.0708,25.3721,22.8515,21.1346,18.9777,17.5425,16.7175,15.8924,15.0673,13.8965,12.7121,11.5782,10.4241,9.249,19.845,45.5797,35.969,30.606,19.5735,11.8807,7.0,5.2823
