Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8098,-2.7449,-5.96,-5.6307,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,52.1902,49.4453,43.4853,37.8546
2024-05-08,0.0,-11.742,-7.6979,-2.525,-2.4181,-2.4687,-2.5658,-2.9934,-5.3605,-8.5157,-6.6034,-1.2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.974,60.232,52.5341,50.0091,47.591,45.1223,42.5565,39.5631,34.2026,25.6869,19.0835,17.8736,19.5295,21.1855,22.8414,24.4973,26.1533,27.8092,29.4651,31.1211,32.777,34.4329,36.0889,37.7448
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5537,-1.9796,-5.1021,-2.533,-4.0875,-6.1899,-10.7446,0.0,39.4008,41.0567,42.7126,44.3686,46.0245,47.6804,49.3364,50.9923,52.6482,54.3042,55.9601,57.6161,59.272,60.9279,62.5839,62.8804,58.3267,56.3471,51.245,48.712,44.6245,38.4346,27.69,29.2157
2024-05-10,0.0,-5.3198,-1.1016,-1.5063,-1.7374,-2.159,-2.0494,-1.924,-5.6355,0.0,-5.1289,-4.2261,-4.1364,-3.6997,-3.633,-6.3925,-6.6584,-2.6396,-3.6721,-4.087,-2.3467,0.0,0.0,-4.6275,51.8217,46.5019,45.4003,43.894,42.1566,39.9976,37.9482,36.0242,30.3887,65.6429,60.514,56.2879,52.1515,48.4518,44.8188,38.4263,31.7679,29.1283,25.4562,21.3692,19.0225,28.0539,28.2014,23.5739
2024-05-11,-2.8796,-7.0082,-2.5852,-2.5915,-2.5914,0.0,0.0,0.0,0.0,-8.3892,-6.3308,-5.4387,-2.0989,-8.4899,-7.5373,-2.1149,-1.4728,-3.4365,-5.7971,0.0,0.0,-6.581,-1.8262,-2.033,20.6943,13.6861,11.1009,8.5094,5.918,18.4744,39.3401,60.2057,64.088,55.6988,49.368,43.9293,41.8304,33.3405,25.8032,23.6883,22.2155,18.779,12.9819,65.5002,86.6088,80.0278,78.2016,76.1686
2024-05-12,-7.4718,-1.3703,-1.1404,-1.1404,-1.8382,-1.8673,-4.4247,-4.4989,-6.9793,-16.2319,-4.8151,-3.5597,-4.5263,-7.2187,0.0,0.0,-6.3748,-5.8229,-3.0956,-1.6151,-3.2706,-2.5246,-7.8699,-7.7743,68.6968,67.3265,66.1861,65.0457,63.2075,61.3402,56.9155,52.4166,45.4373,29.2054,24.3903,20.8306,16.3043,9.0856,46.6329,99.8085,93.4337,87.6108,84.5152,82.9001,79.6295,77.1049,69.235,61.4607
2024-05-13,-1.7886,-1.0562,-0.9568,-0.8179,-0.8179,-0.8179,-1.2967,-1.4573,-1.5506,-3.5512,-6.8788,-6.115,-3.8653,-3.1632,-2.8796,-7.9137,0.0,-0.612,-5.2741,-3.2512,0.0,-2.8922,-8.0576,0.0,59.6721,58.6159,57.6591,56.8412,56.0233,55.2054,53.9087,52.4514,50.9008,47.3496,40.4708,34.3558,30.4905,27.3273,24.4477,16.534,21.9897,21.3777,16.1036,12.8524,62.6005,59.7083,51.6507,74.7881
2024-05-14,-4.2967,-2.3063,-1.247,-0.9424,-0.9425,-2.0112,-1.5691,-2.218,-5.6837,-5.5064,-7.0557,-6.6708,-4.9917,-3.0361,-6.0291,-5.001,-4.1591,-1.8709,-1.0163,-2.6062,0.0,0.0,0.0,0.0,70.4914,68.1851,66.9381,65.9957,65.0532,63.042,61.4729,59.2549,53.5712,48.0648,41.0091,34.3383,29.3466,26.3105,20.2814,15.2804,11.1213,9.2504,8.2341,5.6279,17.4892,17.714,37.4085,39.794
2024-05-15,-5.994,-5.2171,-4.5924,-2.6639,0.0,0.0,-1.807,-2.2324,-4.0267,-4.1998,-7.5191,-9.7556,-5.6492,-2.9914,-5.985,-6.0615,-2.2851,-3.0823,-5.3596,-5.3279,-3.366,-6.5185,-3.5735,-5.7252,33.8,28.5829,23.9905,21.3266,93.7085,100.0,98.193,95.9606,91.9339,87.7341,80.215,70.4594,64.8102,61.8188,55.8338,49.7723,47.4872,44.4049,39.0453,33.7174,30.3514,23.8329,20.2594,14.5342
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,-1.8402,-3.8958,-5.2207,-5.0667,-7.479,-4.8242,-3.5814,-1.6528,-2.6165,-5.7015,-4.6502,-4.9065,-4.437,-4.1482,-2.4248,-5.9321,-7.8846,-7.4531,22.1989,92.3934,100.0,100.0,100.0,100.0,98.1598,94.264,89.0433,83.9766,76.4976,71.6734,68.092,66.4392,63.8227,58.1212,53.471,48.5645,44.1275,39.9793,37.5545,31.6224,23.7378,16.2847
