Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5627,-2.5538,-4.4578,-4.9586,-8.7433,-10.5738,-3.144,-8.8001,-3.4697,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,72.4373,69.8835,65.4257,60.4671,51.7238,41.15,38.006,29.2059,25.7362
2024-05-07,-1.3189,-1.2411,-1.2018,-1.0697,-1.2071,-1.9592,0.0,0.0,0.0,-4.2904,-4.0797,-1.9903,-3.6266,-1.7303,-1.5508,-3.7722,-1.8903,-1.9524,-4.3808,-5.009,-6.5989,-9.5285,-6.7649,-4.9989,24.4173,23.1762,21.9744,20.9047,19.6976,17.7384,19.1301,83.8771,87.9306,83.6402,79.5605,77.5702,73.9436,72.2133,70.6625,66.8903,65.0,63.0476,58.6668,53.6578,47.0589,37.5304,30.7655,25.7666
2024-05-08,-2.3951,-1.1523,-1.6331,-1.683,-1.0587,-1.1048,-2.0029,0.0,0.0,-5.796,0.0,-5.0589,-6.3713,-6.3785,0.0,-6.4566,-4.5091,0.0,-9.4125,-11.2811,-4.4596,-4.2135,-5.5006,0.0,23.3715,22.2192,20.5861,18.9031,17.8444,16.7396,14.7367,20.9202,61.18,55.384,66.7906,61.7317,55.3604,48.9819,51.2399,44.7833,40.2742,46.2913,36.8788,25.5977,21.1381,16.9246,11.424,23.2162
2024-05-09,0.0,-2.0286,-1.4641,-1.3495,-0.988,-0.988,-3.1066,0.0,-1.4991,-3.2448,-1.3368,-1.471,-3.1421,-2.8887,-0.9643,-2.8019,-3.0918,-3.7869,-4.9207,-2.5237,-5.81,-8.1224,-9.3869,-10.6524,61.6042,59.5756,58.1115,56.762,55.774,54.786,51.6794,91.5825,90.0834,86.8386,85.5018,84.0308,80.8887,78.0,77.0357,74.2338,71.142,67.3551,62.4344,59.9107,54.1007,45.9783,36.5914,25.939
2024-05-10,-1.7927,-1.7904,-1.6198,-1.5775,-1.5407,-1.4387,-1.4387,-6.5634,0.0,-9.0753,-6.9403,-7.7989,-5.8216,-6.6775,-8.5691,0.0,0.0,-12.1659,0.0,0.0,-10.8699,-3.1396,-4.4492,-4.1426,24.1463,22.3559,20.7361,19.1586,17.6179,16.1792,14.7405,8.1771,68.6814,59.6061,52.6658,44.8669,39.0453,32.3678,23.7987,23.8668,38.0339,25.868,30.4088,83.4937,72.6238,69.4842,65.035,60.8924
2024-05-11,-1.5652,-1.4516,-1.2646,-1.2645,-1.0702,-0.9967,-0.9968,-3.1031,-8.8141,-8.1282,-10.7731,-3.5822,0.0,0.0,-6.7646,-3.098,-3.9434,-5.3578,-9.5574,-8.8838,-10.1137,-10.4423,-9.808,0.0,59.3272,57.8756,56.611,55.3465,54.2763,53.2796,52.2828,49.1797,40.3656,32.2374,21.4643,17.8821,61.6735,85.0475,78.2829,75.1849,71.2415,65.8837,56.3263,47.4425,37.3288,26.8865,17.0785,47.6188
2024-05-12,-10.5992,-2.7693,-0.9826,-1.0787,-1.1148,-1.129,-1.5068,-1.9836,-10.8032,0.0,0.0,0.0,-7.9712,-11.6143,-10.0628,-8.5446,-8.6528,0.0,0.0,-3.5034,-4.3614,-5.1338,-6.2894,-8.8016,37.0196,34.2503,33.2677,32.189,31.0742,29.9452,28.4384,26.4548,15.6516,33.114,85.7845,97.7818,89.8106,78.1963,68.1335,59.5889,50.9361,65.0629,100.0,96.4966,92.1352,87.0014,80.712,71.9104
2024-05-13,-2.0934,-1.9868,-1.6434,-1.3551,-1.4628,-1.7345,-1.9999,-4.7298,0.0,-2.0314,-4.0301,-3.9671,-3.9714,-4.0,-2.9966,-4.9995,-5.9941,-3.9956,-3.9992,-11.9376,-7.5554,-4.4609,-5.6915,-2.0997,69.817,67.8302,66.1868,64.8317,63.3689,61.6344,59.6345,54.9047,81.0,78.9686,74.9385,70.9714,67.0,63.0,60.0034,55.0039,49.0098,45.0142,41.015,29.0774,21.522,17.0611,11.3696,9.2699
2024-05-14,-2.0194,-0.6634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3674,-2.7182,-2.9495,-2.7773,-2.9834,-2.412,-2.4703,-3.1193,-3.0331,-3.9549,-7.2523,-4.781,-7.4248,-4.6351,-1.6332,7.2505,6.5871,20.8521,35.1171,49.3821,63.6471,77.9121,92.1771,99.3438,94.9764,92.2582,89.3087,86.5314,83.548,81.136,78.6657,75.5464,72.5133,68.5584,61.3061,56.5251,49.1003,44.4652,42.832
2024-05-15,-1.0207,-1.0207,-1.1135,-1.4322,-1.4322,-1.3247,-1.1835,0.0,0.0,-3.0039,-5.0715,-3.3636,-2.6106,-2.4144,-4.108,-3.3346,-2.9845,-4.9656,-2.994,-5.3418,-4.693,-6.6371,-2.0,-0.4628,41.8113,40.7906,39.6771,38.2449,36.8127,35.488,34.3045,36.898,69.5226,66.5187,61.4472,58.0836,55.473,53.0586,48.9506,45.616,42.6315,37.6659,34.6719,29.3301,24.6371,18.0,16.0,15.5372
2024-05-16,-1.1951,-1.1951,-1.233,-1.2384,-1.5922,-1.315,-0.5005,0.0,0.0,0.0,-4.3741,-1.9691,-2.937,-3.5812,-3.372,-3.201,-3.6725,-8.4225,-8.7801,-4.5632,-6.8921,-3.4127,-3.9617,-2.246,14.3421,13.147,11.914,10.6756,9.0834,7.7684,7.2679,54.6031,99.3686,99.7187,95.3446,93.3755,90.4385,86.8573,83.4853,80.2843,76.6118,68.1893,59.4092,54.846,47.9539,44.5412,40.5795,38.3335
2024-05-17,-1.7006,-0.9604,-0.9524,-0.9337,-0.9356,-0.946,-1.0472,-1.8576,0.0,-0.1787,-3.6615,-4.8159,-1.1768,-2.0548,-2.0093,-2.4405,-2.832,-4.5845,-7.2135,-4.0256,-3.9156,-5.5979,-5.1369,-1.585,36.6329,35.6725,34.7201,33.7864,32.8508,31.9048,30.8576,29.0,93.8781,93.6994,90.0379,85.222,84.0452,81.9904,79.9811,77.5406,74.7086,70.1241,62.9106,58.885,54.9694,49.3715,44.2346,42.6496
2024-05-18,-0.9118,-0.9707,-1.2205,-1.2205,-1.2248,-1.2265,-1.4649,-2.8543,-3.1812,-2.5212,-3.4763,-3.3769,0.0,0.0,-2.8338,-1.4661,-4.5999,-5.4549,-5.7646,-1.4776,-1.4683,-7.5794,-10.4401,-1.7827,41.7378,40.7671,39.5466,38.3261,37.1013,35.8748,34.4099,31.5556,28.3744,25.8532,22.3769,19.0,54.8742,69.5302,66.6964,65.2303,60.6304,55.1755,49.4109,47.9333,46.465,38.8856,28.4455,26.6628
2024-05-19,-1.6505,-0.9315,-0.9262,-1.1959,-1.25,-1.25,-4.1233,0.0,0.0,-1.1257,-3.0874,-2.0619,-1.5119,-4.0152,-4.0088,-1.5679,-3.143,-6.0446,-7.0787,-2.9824,-2.5258,-3.1383,-3.068,-0.6877,25.0123,24.0808,23.1546,21.9587,20.7087,19.4587,15.3354,29.5479,98.2474,97.1217,94.0343,91.9724,90.4605,86.4453,82.4365,80.8686,77.7256,71.681,64.6023,61.6199,59.0941,55.9558,52.8878,52.2001
2024-05-20,-3.254,-0.9737,-0.9861,-0.9861,-0.9861,-0.9288,-7.57,0.0,0.0,-2.9631,-2.9731,-2.9672,-4.2176,-3.1824,-4.7108,-4.604,-4.0644,-3.2305,-5.5895,-3.0956,-4.352,-3.7628,-3.2994,-5.3986,48.9461,47.9724,46.9863,46.0002,45.0141,44.0853,36.5153,62.4764,96.121,93.1579,90.1848,87.2176,83.0,79.8176,75.1068,70.5028,66.4384,63.2079,57.6184,54.5228,50.1708,46.408,43.1086,37.71
2024-05-21,-1.6859,-1.3322,-1.1511,-1.0855,-1.0272,-0.9283,-2.3117,-5.9463,0.0,-2.5378,-2.7807,-3.6815,-3.0,-2.0,-5.3124,0.0,0.0,-4.3947,-3.7573,-2.3279,-2.7967,-7.1517,-2.5251,-8.2604,36.0241,34.6919,33.5408,32.4553,31.4281,30.4998,28.1881,22.2418,41.0,38.4622,35.6815,32.0,29.0,27.0,21.6876,39.3335,65.1377,60.743,56.9857,54.6578,51.8611,44.7094,42.1843,33.9239
2024-05-22,-0.6361,-0.9539,-1.2165,-1.2242,-1.3126,-1.8807,-2.3317,-4.8489,-3.5349,-2.2604,-2.398,-2.7424,0.0,0.0,-3.0663,-1.8919,-3.0037,-2.5706,-7.038,-4.0669,-3.368,-8.3145,-5.7145,-1.3409,33.2878,32.3339,31.1174,29.8932,28.5806,26.6999,24.3682,19.5193,15.9844,13.724,11.326,8.5836,64.2968,65.91,62.8437,60.9518,57.9481,55.3775,48.3395,44.2726,40.9046,32.5901,26.8756,25.5347
2024-05-23,-0.8962,-1.0757,-1.5203,-1.5204,-1.4338,-1.3887,-1.3886,0.0,0.0,-2.1307,-3.6808,-4.6748,-1.8123,-2.1477,-3.7716,-4.7828,-4.3757,-4.4642,-4.2349,-3.4833,-5.0161,-3.5841,-8.7439,-2.3977,24.6385,23.5628,22.0425,20.5221,19.0883,17.6996,16.311,64.8065,99.6803,97.5496,93.8688,89.194,87.3817,85.234,81.4624,76.6796,72.3039,67.8397,63.6048,60.1215,55.1054,51.5213,42.7774,40.3797
2024-05-24,-1.1395,-1.3695,-1.4311,-0.9575,-0.7475,-0.7687,-1.9849,-4.1977,-2.9775,-3.6548,-3.151,-4.3546,0.0,-2.962,-2.2611,-2.7334,-5.4269,0.0,-2.8567,-5.6674,-4.9627,-5.9979,0.0,-3.1966,39.2402,37.8707,36.4396,35.4821,34.7346,33.9659,31.981,27.7833,24.8058,21.151,18.0,13.6454,31.3152,28.3532,26.0921,23.3587,17.9318,41.2951,38.4384,32.771,27.8083,21.8104,24.4471,21.2505
2024-05-25,-1.4473,-1.3163,-1.3162,-1.3119,-1.3112,-1.2339,-1.1785,0.0,-2.8132,-3.3144,-0.5579,0.0,-2.2293,0.0,-4.6208,-1.635,-4.408,-5.6016,-4.8113,-2.4372,-3.1584,-4.3461,-6.5893,-1.7464,19.8032,18.4869,17.1707,15.8588,14.5476,13.3137,12.1352,38.6004,35.7872,32.4728,31.9149,90.9022,88.6729,95.2558,90.635,89.0,84.592,78.9904,74.1791,71.7419,68.5835,64.2374,57.6481,55.9017
2024-05-26,-0.8232,-0.8231,-1.0435,-1.1425,-1.1425,-1.2051,-1.4742,-1.9539,-1.4539,-5.2351,-2.1738,-2.1074,-3.3323,-5.0436,-2.177,-2.0058,-5.6846,-3.6057,0.0,0.0,-8.1637,-4.7747,-9.1951,-1.4606,55.0785,54.2554,53.2119,52.0694,50.9269,49.7218,48.2476,46.2937,44.8398,39.6047,37.4309,35.3235,31.9912,26.9476,24.7706,22.7648,17.0802,13.4745,59.0647,66.0725,57.9088,53.1341,43.939,42.4784
2024-05-27,-1.5893,-0.9019,-0.9019,-0.847,-0.8414,-0.8413,-2.8222,0.0,0.0,-2.9394,-3.1135,-1.9267,-2.5328,-3.0718,-2.876,-3.3896,-3.8035,-3.8409,-8.0642,-4.9101,-3.6766,-4.714,-5.8481,-3.4083,40.8891,39.9872,39.0853,38.2383,37.3969,36.5556,33.7334,56.8789,97.8578,94.9184,91.8049,89.8782,87.3454,84.2736,81.3976,78.008,74.2045,70.3636,62.2994,57.3893,53.7127,48.9987,43.1506,39.7423
2024-05-28,-1.3172,-1.1856,-1.1227,-1.1257,-1.678,-1.6779,-5.8443,0.0,0.0,0.0,-3.8042,-3.7457,-2.8815,-5.5292,-5.6923,-2.1632,-2.4573,-5.1296,-2.4198,-5.5609,-3.6965,-3.7084,-7.4665,-2.3355,38.4251,37.2395,36.1168,34.9911,33.3131,31.6352,25.7909,28.4657,92.7952,92.8283,89.0241,85.2784,82.3969,76.8677,71.1754,69.0122,66.5549,61.4253,59.0055,53.4446,49.7481,46.0397,38.5732,36.2377
2024-05-29,-0.9913,-1.0272,-1.8266,-3.0814,-0.8037,-0.5493,-1.3905,-2.5264,0.0,-2.4217,-4.8356,-2.0116,-3.2059,-1.3132,-3.1752,-2.6146,-2.7601,-3.5814,-4.787,-4.043,-6.3002,-8.7022,-5.2719,-6.6985,35.2464,34.2192,32.3926,29.3112,28.5075,27.9582,26.5677,24.0413,92.0,89.5783,84.7427,82.7311,79.5252,78.212,75.0368,72.4222,69.6621,66.0807,61.2937,57.2507,50.9505,42.2483,36.9764,30.2779
2024-05-30,-9.4732,-7.7454,-4.0672,-1.2334,-0.8729,-0.873,-0.873,0.0,0.0,-1.171,-3.1654,-3.1786,-3.6935,-5.6311,-2.6173,-4.0433,-9.9703,-11.8218,-8.3534,0.0,0.0,-8.1771,-6.178,-8.8208,20.8047,13.0593,8.9921,7.7587,6.8858,6.0128,5.1398,57.9771,100.0,98.829,95.6636,92.485,88.7915,83.1604,80.5431,76.4998,66.5295,54.7077,46.3543,68.4484,92.5339,84.3568,78.1788,69.358
2024-05-31,-5.1786,-4.9996,-5.9996,-4.9997,-5.9996,-4.9996,-4.9997,-7.8176,-7.9964,0.0,-4.7473,-5.9949,-6.7299,-8.5081,-4.992,-7.4482,0.0,0.0,-4.274,-7.4505,-5.0174,-4.745,-6.5921,-3.6074,64.1794,59.1798,53.1802,48.1805,42.1809,37.1813,32.1816,24.364,16.3676,45.2349,40.4876,34.4927,27.7628,19.2547,14.2627,6.8145,69.1927,81.274,77.0,69.5495,64.5321,59.7871,53.195,49.5876
2024-06-01,-0.8849,-1.117,-1.117,-1.0348,-0.9754,-1.1436,-1.2928,-2.2951,-3.0794,-2.8151,-5.7186,-5.4929,-8.4299,0.0,-5.347,-7.0753,-2.4619,-2.0596,-3.6984,-2.2614,-3.3509,-8.2887,-7.2155,-1.2696,48.7027,47.5857,46.4687,45.4339,44.4585,43.3149,42.0221,39.727,36.6476,33.8325,28.1139,22.621,14.1911,53.9883,48.6413,41.566,39.1041,37.0445,33.3461,31.0847,27.7338,19.4451,12.2296,10.96
2024-06-02,-1.1041,-1.2843,-1.2843,-1.2843,0.0,0.0,0.0,0.0,-3.8831,-2.6816,0.0,-5.4369,-8.4197,-3.318,-6.444,-6.6398,-2.7002,-4.9184,-4.9633,-5.9151,-4.3092,-6.4401,0.0,-2.4075,9.8559,8.5716,7.2873,6.003,19.3924,32.8163,46.2401,59.664,55.7809,53.0993,76.5056,71.0687,62.649,59.331,52.887,46.2472,43.547,38.6286,33.6653,27.7502,23.441,17.0009,25.1069,22.6994
2024-06-03,-1.3052,-1.242,-1.2147,-1.2147,-1.1905,-1.1548,0.0,0.0,0.0,-3.0566,-5.3142,-2.5895,-2.6196,-1.9957,-2.0462,-2.8273,-4.2421,-5.4465,-4.7309,-3.5732,-1.7688,-1.3707,-9.2295,-2.0081,21.3942,20.1522,18.9375,17.7228,16.5323,15.3775,30.2817,98.9846,100.0,96.9434,91.6292,89.0397,86.4201,84.4244,82.3782,79.5509,75.3088,69.8623,65.1314,61.5582,59.7894,58.4187,49.1892,47.1811
2024-06-04,-1.073,-0.988,-0.988,-1.2684,-1.3117,-1.3117,-1.8995,0.0,0.0,-4.0071,-4.0202,-2.7398,-3.1283,-3.608,-4.7207,-3.7569,-2.5434,-3.7331,-4.1524,-2.8937,-3.6927,-3.3915,-3.9298,-6.1611,46.1081,45.1201,44.1321,42.8637,41.552,40.2403,38.3408,71.7915,98.7066,94.6995,90.6793,87.9395,84.8112,81.2032,76.4825,72.7256,70.1822,66.4491,62.2967,59.403,55.7103,52.3188,48.389,42.2279
2024-06-05,-1.6906,-1.0791,-1.079,-1.2318,-1.3145,-1.6432,-2.2116,0.0,0.0,-4.6396,-5.3725,-6.6181,-8.3508,-6.6056,-6.2948,-2.6508,-5.7196,-4.8596,-4.9688,-5.0054,-4.8449,-7.6439,0.0,-4.8684,40.5373,39.4582,38.3792,37.1474,35.8329,34.1897,31.9781,63.5666,84.5071,79.8675,74.495,67.8769,59.5261,52.9205,46.6257,43.9749,38.2553,33.3957,28.4269,23.4215,18.5766,10.9327,51.2209,46.3525
2024-06-06,-1.0005,-0.9981,-1.2735,-1.2736,-1.0869,-0.7644,-0.7643,-3.3634,-3.6172,-5.9328,-1.8567,0.0,-2.8953,-4.6997,-3.6788,-4.3317,-4.7362,-2.3588,-2.5191,-4.6962,-7.4196,0.0,-6.2502,-2.5928,45.352,44.3539,43.0804,41.8068,40.7199,39.9555,39.1912,35.8278,32.2106,26.2778,24.4211,52.433,49.5377,44.838,41.1592,36.8275,32.0913,29.7325,27.2134,22.5172,15.0976,68.7768,62.5266,59.9338
2024-06-07,-1.5446,-1.0539,-1.3537,-1.3458,-1.0627,-1.0627,-1.0627,-2.598,-2.3082,-2.6081,-4.5666,-2.8641,-2.6881,-3.7288,-4.246,-5.0789,-1.7609,-2.8473,-7.1527,0.0,0.0,-6.8615,-6.4907,-3.5912,58.3892,57.3353,55.9816,54.6358,53.5731,52.5104,51.4477,48.8497,46.5415,43.9334,39.3668,36.5027,33.8146,30.0858,25.8398,20.7609,19.0,16.1527,9.0,37.4498,89.4062,82.5447,76.054,72.4628
2024-06-08,-1.1127,-1.3358,-1.3359,-1.2442,-1.1498,-1.1498,-2.1751,-7.1549,-3.2726,-3.2426,-5.4245,-4.7024,-16.4026,-5.8699,0.0,0.0,-1.767,-1.2638,-4.1657,-3.0533,-5.1178,-5.0454,-4.4242,-6.6235,71.3501,70.0143,68.6784,67.4342,66.2844,65.1346,62.9595,55.8046,52.532,49.2894,43.8649,39.1625,22.7599,16.89,23.6335,73.0442,71.2772,70.0134,65.8477,62.7944,57.6766,52.6312,48.207,41.5835
2024-06-09,-1.6376,-1.3252,-1.3253,-1.0328,-0.949,-0.9489,-1.6521,-1.8985,-2.0922,-3.3066,-2.824,0.0,0.0,-3.3437,-4.5921,-3.1329,-2.8186,-4.3843,-2.5674,-4.748,-6.072,-2.207,-7.28,-3.3738,39.9459,38.6207,37.2954,36.2626,35.3136,34.3647,32.7126,30.8141,28.7219,25.4153,22.5913,86.0117,94.277,90.9333,86.3412,83.2083,80.3897,76.0054,73.438,68.69,62.618,60.411,53.131,49.7572
2024-06-10,-1.3525,-0.8291,-0.6501,-1.5002,-1.8068,-1.9828,-3.2969,0.0,0.0,-2.9715,-3.2338,-3.0953,-2.3516,-2.7666,-3.3707,-3.8545,-5.2529,-4.552,-3.7262,-6.9159,-2.1273,-4.7122,-4.6653,-4.7882,48.4047,47.5756,46.9255,45.4253,43.6185,41.6357,38.3388,91.6426,99.2043,96.2328,92.999,89.9037,87.5521,84.7855,81.4148,77.5603,72.3074,67.7554,64.0292,57.1133,54.986,50.2738,45.6085,40.8203
2024-06-11,-1.5775,-1.1418,-1.1017,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,39.2428,38.101,36.9993,36.9787,36.9582,36.9376,36.9171,36.8965,36.876,36.8554,36.8349,36.8143,36.7938,36.7732,36.7527,36.7321,36.7116,36.691,36.6705,36.6499,36.6294,36.6088,36.5883,36.5677
2024-06-12,-0.0205,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,36.5472,36.5267,36.5061,36.4856,36.465,36.4445,36.4239,36.4034,36.3828,36.3623,36.3417,36.3212,36.3006,36.2801,36.2595,36.239,36.2184,36.1979,36.1773,36.1568,36.1362,36.1157,36.0951,36.0746
2024-06-13,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,36.054,36.0335,36.0129,35.9924,35.9718,35.9513,35.9307,35.9102,35.8897,35.8691,35.8486,35.828,35.8075,35.7869,35.7664,35.7458,35.7253,35.7047,35.6842,35.6636,35.6431,35.6225,35.602,35.5814
2024-06-14,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,35.5609,35.5403,35.5198,35.4992,35.4787,35.4581,35.4376,35.417,35.3965,35.3759,35.3554,35.3348,35.3143,35.2937,35.2732,35.2527,35.2321,35.2116,35.191,35.1705,35.1499,35.1294,35.1088,35.0883
2024-06-15,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0205,-0.0206,35.0677,35.0472,35.0266,35.0061,34.9855,34.965,34.9444,34.9239,34.9033,34.8828,34.8622,34.8417,34.8211,34.8006,34.78,34.7595,34.7389,34.7184,34.6978,34.6773,34.6567,34.6362,34.6157,34.5951
2024-06-16,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,34.5746,34.554,34.5335,34.5129,34.4924,34.4718,34.4513,34.4307,34.4102,34.3896,34.3691,34.3485,34.328,34.3074,34.2869,34.2663,34.2458,34.2252,34.2047,34.1841,34.1636,34.143,34.1225,34.1019
2024-06-17,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,-0.0206,-0.0205,34.0814,34.0608,34.0403,34.0197,33.9992,33.9787,33.9581,33.9376,33.917,33.8965,33.8759,33.8554,33.8348,33.8143,33.7937,33.7732,33.7526,33.7321,33.7115,33.691,33.6704,33.6499,33.6293,33.6088
