feature,importance,feature_type,days_back
dSocdt_h4_day_minus1,0.055425435,dSocdt,1
dSocdt_h19_day_minus1,0.05079784,dSocdt,1
dSocdt_h14_day_minus1,0.047883853,dSocdt,1
dSocdt_h20_day_minus1,0.04544507,dSocdt,1
dSocdt_h23_day_minus1,0.037026357,dSocdt,1
dSocdt_h15_day_minus1,0.03480284,dSocdt,1
dSocdt_h21_day_minus1,0.032022487,dSocdt,1
dSocdt_h3_day_minus1,0.031036153,dSocdt,1
dSocdt_h12_day_minus1,0.02399637,dSocdt,1
dSocdt_h17_day_minus1,0.023936972,dSocdt,1
dSocdt_h16_day_minus1,0.023688143,dSocdt,1
dSocdt_h5_day_minus1,0.022720307,dSocdt,1
dSocdt_h6_day_minus1,0.021660648,dSocdt,1
dSocdt_h11_day_minus1,0.018107519,dSocdt,1
dSocdt_h22_day_minus1,0.017935116,dSocdt,1
dSocdt_h8_day_minus1,0.01763515,dSocdt,1
dSocdt_h7_day_minus2,0.01759196,dSocdt,2
dSocdt_h18_day_minus1,0.014836774,dSocdt,1
day_day_minus1,0.013303507,Date,1
dSocdt_h0_day_minus1,0.011854488,dSocdt,1
dSocdt_h10_day_minus1,0.011838335,dSocdt,1
dSocdt_h9_day_minus1,0.011487037,dSocdt,1
Soc_h10_day_minus1,0.011395298,Soc,1
Soc_h23_day_minus1,0.011373274,Soc,1
dSocdt_h15_day_minus2,0.011080424,dSocdt,2
dSocdt_h23_day_minus2,0.0107780285,dSocdt,2
dSocdt_h10_day_minus2,0.010528099,dSocdt,2
dSocdt_h22_day_minus2,0.010388118,dSocdt,2
dSocdt_h13_day_minus2,0.009855864,dSocdt,2
dSocdt_h19_day_minus2,0.0096150385,dSocdt,2
dSocdt_h20_day_minus2,0.009599257,dSocdt,2
dSocdt_h13_day_minus1,0.009476209,dSocdt,1
dSocdt_h7_day_minus1,0.0093421815,dSocdt,1
dSocdt_h6_day_minus2,0.009126375,dSocdt,2
dSocdt_h4_day_minus2,0.008712432,dSocdt,2
dSocdt_h2_day_minus2,0.0073787407,dSocdt,2
dSocdt_h5_day_minus2,0.007178024,dSocdt,2
dSocdt_h2_day_minus1,0.0067667398,dSocdt,1
dSocdt_h3_day_minus2,0.0065649585,dSocdt,2
dSocdt_h14_day_minus2,0.0065391646,dSocdt,2
month_day_minus1,0.006331913,Date,1
dSocdt_h13_day_minus6,0.0060987757,dSocdt,6
dSocdt_h13_day_minus3,0.006084535,dSocdt,3
dSocdt_h0_day_minus2,0.0056869616,dSocdt,2
dSocdt_h8_day_minus2,0.0056595593,dSocdt,2
dSocdt_h19_day_minus3,0.0054186657,dSocdt,3
dSocdt_h1_day_minus1,0.005343287,dSocdt,1
dSocdt_h17_day_minus2,0.0051576975,dSocdt,2
dSocdt_h1_day_minus2,0.0050687236,dSocdt,2
Soc_h22_day_minus1,0.005064975,Soc,1
dSocdt_h20_day_minus4,0.0048993635,dSocdt,4
dSocdt_h12_day_minus2,0.004847826,dSocdt,2
Soc_h9_day_minus2,0.0047364547,Soc,2
Soc_h17_day_minus1,0.004369473,Soc,1
dSocdt_h23_day_minus3,0.0042604343,dSocdt,3
Soc_h20_day_minus1,0.0042470633,Soc,1
Soc_h21_day_minus1,0.004186323,Soc,1
day_day_minus3,0.004163368,Date,3
dSocdt_h9_day_minus2,0.0041456004,dSocdt,2
dSocdt_h21_day_minus2,0.0039921515,dSocdt,2
Soc_h11_day_minus1,0.0039006907,Soc,1
dSocdt_h16_day_minus2,0.0038300606,dSocdt,2
dSocdt_h22_day_minus3,0.0036530674,dSocdt,3
dSocdt_h22_day_minus4,0.003626461,dSocdt,4
dSocdt_h18_day_minus2,0.0035441136,dSocdt,2
Soc_h16_day_minus1,0.0034715508,Soc,1
Soc_h13_day_minus1,0.0033945225,Soc,1
Soc_h17_day_minus4,0.0031219402,Soc,4
dSocdt_h7_day_minus3,0.0030786532,dSocdt,3
dSocdt_h11_day_minus2,0.0030759724,dSocdt,2
Soc_h18_day_minus1,0.0030122588,Soc,1
dSocdt_h0_day_minus6,0.0030094117,dSocdt,6
