tuning_param,param_value,device,mean_accuracy,mean_mae,mean_rmse,fixed_n_estimators,fixed_max_depth,fixed_subsample,fixed_colsample_bytree
learning_rate,0.01,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.4397,1.92226,2.559916,25,2.0,0.8,0.8
learning_rate,0.01,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,46.8927,3.178004,4.044055,25,2.0,0.8,0.8
learning_rate,0.01,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.3194,2.599133,3.26495,25,2.0,0.8,0.8
learning_rate,0.01,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.9548,2.708498,3.655098,25,2.0,0.8,0.8
learning_rate,0.01,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.7853,1.609332,2.09889,25,2.0,0.8,0.8
learning_rate,0.01,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.0254,2.836908,3.975746,25,2.0,0.8,0.8
learning_rate,0.01,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,58.477,2.201682,2.787265,25,2.0,0.8,0.8
learning_rate,0.01,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,67.5847,1.659557,2.094757,25,2.0,0.8,0.8
learning_rate,0.02,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.5833,1.89724,2.520782,25,2.0,0.8,0.8
learning_rate,0.02,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,47.952,3.104969,3.966307,25,2.0,0.8,0.8
learning_rate,0.02,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.3889,2.576746,3.244496,25,2.0,0.8,0.8
learning_rate,0.02,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,54.0254,2.68983,3.614927,25,2.0,0.8,0.8
learning_rate,0.02,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,69.209,1.57916,2.062416,25,2.0,0.8,0.8
learning_rate,0.02,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.3785,2.820856,3.962427,25,2.0,0.8,0.8
learning_rate,0.02,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.1954,2.16917,2.753246,25,2.0,0.8,0.8
learning_rate,0.02,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,69.1384,1.625771,2.059412,25,2.0,0.8,0.8
learning_rate,0.08,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,63.3621,1.927082,2.555787,25,2.0,0.8,0.8
learning_rate,0.08,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,51.8362,2.984143,3.926772,25,2.0,0.8,0.8
learning_rate,0.08,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.3889,2.614267,3.324166,25,2.0,0.8,0.8
learning_rate,0.08,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.1073,2.745245,3.672976,25,2.0,0.8,0.8
learning_rate,0.08,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,67.4435,1.553294,2.048483,25,2.0,0.8,0.8
learning_rate,0.08,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,55.3672,2.882929,4.155956,25,2.0,0.8,0.8
learning_rate,0.08,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.5546,2.165813,2.792429,25,2.0,0.8,0.8
learning_rate,0.08,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,68.6441,1.600344,2.063342,25,2.0,0.8,0.8
learning_rate,0.15,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,62.069,2.006886,2.676568,25,2.0,0.8,0.8
