tuning_param,param_value,device,mean_accuracy,mean_mae,mean_rmse,fixed_n_estimators,fixed_learning_rate,fixed_subsample,fixed_colsample_bytree
max_depth,2,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.296,1.887407,2.50018,25,0.05,0.8,0.8
max_depth,2,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,51.1299,3.001713,3.891776,25,0.05,0.8,0.8
max_depth,2,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.875,2.572004,3.256706,25,0.05,0.8,0.8
max_depth,2,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.3192,2.690785,3.596158,25,0.05,0.8,0.8
max_depth,2,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,67.8672,1.541927,2.02668,25,0.05,0.8,0.8
max_depth,2,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.9435,2.833975,4.029858,25,0.05,0.8,0.8
max_depth,2,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.6983,2.14693,2.74737,25,0.05,0.8,0.8
max_depth,2,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,69.7034,1.589832,2.034061,25,0.05,0.8,0.8
max_depth,3,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.2241,1.889519,2.503897,25,0.05,0.8,0.8
max_depth,3,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,50.9887,3.005464,3.891858,25,0.05,0.8,0.8
max_depth,3,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.5972,2.573485,3.25494,25,0.05,0.8,0.8
max_depth,3,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,52.9661,2.702272,3.606884,25,0.05,0.8,0.8
max_depth,3,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.0085,1.547504,2.02985,25,0.05,0.8,0.8
max_depth,3,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.8023,2.84587,4.041535,25,0.05,0.8,0.8
max_depth,3,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.2672,2.154919,2.753767,25,0.05,0.8,0.8
max_depth,3,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,69.4209,1.593194,2.037745,25,0.05,0.8,0.8
max_depth,4,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.1523,1.890438,2.505498,25,0.05,0.8,0.8
max_depth,4,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,50.9887,3.003979,3.890492,25,0.05,0.8,0.8
max_depth,4,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.5972,2.574368,3.255162,25,0.05,0.8,0.8
max_depth,4,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.1073,2.701114,3.605325,25,0.05,0.8,0.8
max_depth,4,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.0085,1.548174,2.029967,25,0.05,0.8,0.8
max_depth,4,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.9435,2.845017,4.041341,25,0.05,0.8,0.8
max_depth,4,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.1954,2.154379,2.754023,25,0.05,0.8,0.8
max_depth,4,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,69.5621,1.593393,2.03728,25,0.05,0.8,0.8
max_depth,5,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.1523,1.890456,2.505486,25,0.05,0.8,0.8
max_depth,5,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,50.9887,3.004018,3.89041,25,0.05,0.8,0.8
max_depth,5,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.5972,2.574398,3.255178,25,0.05,0.8,0.8
max_depth,5,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.1073,2.701394,3.605505,25,0.05,0.8,0.8
max_depth,5,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.0085,1.548161,2.029898,25,0.05,0.8,0.8
max_depth,5,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.9435,2.845134,4.041509,25,0.05,0.8,0.8
max_depth,5,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.1954,2.154477,2.7541,25,0.05,0.8,0.8
max_depth,5,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,69.5621,1.593508,2.037286,25,0.05,0.8,0.8
