tuning_param,param_value,device,mean_accuracy,mean_mae,mean_rmse,fixed_n_estimators,fixed_max_depth,fixed_learning_rate,fixed_colsample_bytree
subsample,0.7,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.6552,1.865511,2.473804,25,2.0,0.05,0.8
subsample,0.7,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,50.4237,3.010816,3.876403,25,2.0,0.05,0.8
subsample,0.7,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.1806,2.582849,3.252723,25,2.0,0.05,0.8
subsample,0.7,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,52.8955,2.701375,3.612096,25,2.0,0.05,0.8
subsample,0.7,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,67.8672,1.55075,2.026903,25,2.0,0.05,0.8
subsample,0.7,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,55.9322,2.822752,4.018008,25,2.0,0.05,0.8
subsample,0.7,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.6264,2.138223,2.734503,25,2.0,0.05,0.8
subsample,0.7,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,70.2684,1.583951,2.020422,25,2.0,0.05,0.8
subsample,0.75,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.1523,1.883125,2.495304,25,2.0,0.05,0.8
subsample,0.75,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,50.9887,2.999058,3.879189,25,2.0,0.05,0.8
subsample,0.75,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.4583,2.577784,3.25696,25,2.0,0.05,0.8
subsample,0.75,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.4605,2.692603,3.596262,25,2.0,0.05,0.8
subsample,0.75,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.6441,1.546426,2.031418,25,2.0,0.05,0.8
subsample,0.75,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,55.2966,2.823429,4.016167,25,2.0,0.05,0.8
subsample,0.75,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.6264,2.138789,2.734121,25,2.0,0.05,0.8
subsample,0.75,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,69.9859,1.591771,2.034973,25,2.0,0.05,0.8
subsample,0.8,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.296,1.887407,2.50018,25,2.0,0.05,0.8
subsample,0.8,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,51.1299,3.001713,3.891776,25,2.0,0.05,0.8
subsample,0.8,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.875,2.572004,3.256706,25,2.0,0.05,0.8
subsample,0.8,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.3192,2.690785,3.596158,25,2.0,0.05,0.8
subsample,0.8,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,67.8672,1.541927,2.02668,25,2.0,0.05,0.8
subsample,0.8,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.9435,2.833975,4.029858,25,2.0,0.05,0.8
subsample,0.8,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.6983,2.14693,2.74737,25,2.0,0.05,0.8
subsample,0.8,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,69.7034,1.589832,2.034061,25,2.0,0.05,0.8
subsample,0.85,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.3678,1.893721,2.511939,25,2.0,0.05,0.8
subsample,0.85,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,51.6949,3.008996,3.904368,25,2.0,0.05,0.8
subsample,0.85,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.3194,2.587297,3.279013,25,2.0,0.05,0.8
subsample,0.85,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.3192,2.682428,3.596322,25,2.0,0.05,0.8
subsample,0.85,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.7147,1.551066,2.044963,25,2.0,0.05,0.8
subsample,0.85,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.9435,2.8364,4.045462,25,2.0,0.05,0.8
subsample,0.85,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.4828,2.15212,2.751657,25,2.0,0.05,0.8
subsample,0.85,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,68.6441,1.599639,2.049684,25,2.0,0.05,0.8
subsample,0.9,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.0805,1.894817,2.520592,25,2.0,0.05,0.8
subsample,0.9,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,52.3305,3.006373,3.919194,25,2.0,0.05,0.8
subsample,0.9,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,51.3194,2.594241,3.291451,25,2.0,0.05,0.8
subsample,0.9,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.7429,2.690422,3.607606,25,2.0,0.05,0.8
subsample,0.9,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,67.726,1.555488,2.047687,25,2.0,0.05,0.8
subsample,0.9,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,54.9435,2.844252,4.05992,25,2.0,0.05,0.8
subsample,0.9,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.1954,2.157422,2.76231,25,2.0,0.05,0.8
subsample,0.9,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,68.6441,1.607211,2.061923,25,2.0,0.05,0.8
subsample,0.95,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,64.4397,1.916104,2.575478,25,2.0,0.05,0.8
subsample,0.95,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,52.7542,3.023541,3.979765,25,2.0,0.05,0.8
subsample,0.95,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,52.5694,2.610937,3.329206,25,2.0,0.05,0.8
subsample,0.95,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.4605,2.694959,3.640609,25,2.0,0.05,0.8
subsample,0.95,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.291,1.566557,2.066016,25,2.0,0.05,0.8
subsample,0.95,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,55.3672,2.881149,4.129133,25,2.0,0.05,0.8
subsample,0.95,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.1236,2.159816,2.78286,25,2.0,0.05,0.8
subsample,0.95,f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,67.8672,1.625567,2.096323,25,2.0,0.05,0.8
subsample,1.0,0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,63.8649,1.958015,2.657044,25,2.0,0.05,0.8
subsample,1.0,2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,53.178,3.061402,4.062523,25,2.0,0.05,0.8
subsample,1.0,3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,52.5,2.643034,3.393933,25,2.0,0.05,0.8
subsample,1.0,5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,53.7429,2.719969,3.700647,25,2.0,0.05,0.8
subsample,1.0,9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,68.3616,1.576085,2.095098,25,2.0,0.05,0.8
subsample,1.0,ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,55.0141,2.921131,4.234694,25,2.0,0.05,0.8
subsample,1.0,c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,59.4828,2.181176,2.818289,25,2.0,0.05,0.8
