feature,mean_abs_shap,feature_type,days_back
dSocdt_h19_day_minus1,0.15051176,dSocdt,1
dSocdt_h20_day_minus1,0.12184345,dSocdt,1
dSocdt_h14_day_minus1,0.10536414,dSocdt,1
dSocdt_h23_day_minus1,0.098457485,dSocdt,1
dSocdt_h15_day_minus1,0.092675306,dSocdt,1
dSocdt_h4_day_minus1,0.07870889,dSocdt,1
dSocdt_h21_day_minus1,0.056973297,dSocdt,1
dSocdt_h3_day_minus1,0.045417473,dSocdt,1
dSocdt_h12_day_minus1,0.04081207,dSocdt,1
dSocdt_h5_day_minus1,0.03851562,dSocdt,1
dSocdt_h17_day_minus1,0.028564459,dSocdt,1
dSocdt_h11_day_minus1,0.02674207,dSocdt,1
dSocdt_h16_day_minus1,0.026727388,dSocdt,1
dSocdt_h8_day_minus1,0.024912976,dSocdt,1
dSocdt_h10_day_minus1,0.022346975,dSocdt,1
dSocdt_h7_day_minus2,0.019862615,dSocdt,2
dSocdt_h0_day_minus1,0.019352213,dSocdt,1
dSocdt_h6_day_minus1,0.017522262,dSocdt,1
dSocdt_h9_day_minus1,0.01711633,dSocdt,1
dSocdt_h18_day_minus1,0.01670364,dSocdt,1
dSocdt_h20_day_minus2,0.014338264,dSocdt,2
Soc_h23_day_minus1,0.013120017,Soc,1
dSocdt_h13_day_minus2,0.011255823,dSocdt,2
Soc_h22_day_minus1,0.010665146,Soc,1
dSocdt_h19_day_minus2,0.01027724,dSocdt,2
dSocdt_h22_day_minus1,0.009743574,dSocdt,1
dSocdt_h13_day_minus1,0.009664299,dSocdt,1
day_day_minus1,0.008826116,Date,1
month_day_minus1,0.008513659,Date,1
dSocdt_h7_day_minus1,0.008108297,dSocdt,1
dSocdt_h23_day_minus2,0.007982546,dSocdt,2
dSocdt_h22_day_minus2,0.007905211,dSocdt,2
dSocdt_h6_day_minus2,0.0075260187,dSocdt,2
dSocdt_h15_day_minus2,0.0065884404,dSocdt,2
dSocdt_h17_day_minus2,0.0057018395,dSocdt,2
dSocdt_h5_day_minus2,0.0056935474,dSocdt,2
dSocdt_h8_day_minus2,0.0053427718,dSocdt,2
dSocdt_h2_day_minus1,0.005338063,dSocdt,1
Soc_h9_day_minus2,0.005188098,Soc,2
dSocdt_h14_day_minus2,0.0047660945,dSocdt,2
