hour,tree_index,node_id,depth,feature,feature_index,threshold,feature_type,days_back
0,0,0,0,dSocdt_h23_day_minus1,699,-5.25979996,dSocdt,1
0,0,1,1,Soc_h23_day_minus1,723,18.1438007,Soc,1
0,0,2,1,dSocdt_h4_day_minus1,680,-0.591300011,dSocdt,1
0,1,0,0,dSocdt_h23_day_minus1,699,-5.25979996,dSocdt,1
0,1,1,1,Soc_h22_day_minus1,722,42.7268982,Soc,1
0,1,2,1,dSocdt_h20_day_minus1,696,-7.55439997,dSocdt,1
0,2,0,0,dSocdt_h23_day_minus1,699,-7.61210012,dSocdt,1
0,2,1,1,Soc_h22_day_minus1,722,42.7695999,Soc,1
0,2,2,1,dSocdt_h20_day_minus1,696,-3.16020012,dSocdt,1
0,3,0,0,dSocdt_h23_day_minus1,699,-6.07889986,dSocdt,1
0,3,1,1,Soc_h23_day_minus1,723,29.0039997,Soc,1
0,3,2,1,dSocdt_h4_day_minus1,680,-0.591300011,dSocdt,1
0,4,0,0,dSocdt_h23_day_minus1,699,-7.64599991,dSocdt,1
0,4,1,1,Soc_h22_day_minus1,722,42.7695999,Soc,1
0,4,2,1,dSocdt_h4_day_minus1,680,-0.591300011,dSocdt,1
0,5,0,0,dSocdt_h4_day_minus1,680,-0.591300011,dSocdt,1
0,5,1,1,dSocdt_h23_day_minus5,491,-11.5326996,dSocdt,5
0,5,2,1,dSocdt_h12_day_minus1,688,-0.910600007,dSocdt,1
0,6,0,0,dSocdt_h4_day_minus1,680,-0.591300011,dSocdt,1
0,6,1,1,Soc_h23_day_minus1,723,26.4253006,Soc,1
0,6,2,1,dSocdt_h19_day_minus1,695,-2.01909995,dSocdt,1
0,7,0,0,dSocdt_h4_day_minus1,680,-0.591300011,dSocdt,1
0,7,1,1,dSocdt_h0_day_minus4,520,-8.33699989,dSocdt,4
0,7,2,1,dSocdt_h23_day_minus2,647,-2.69370008,dSocdt,2
0,8,0,0,dSocdt_h23_day_minus1,699,-7.64599991,dSocdt,1
0,8,1,1,Soc_h22_day_minus1,722,42.7695999,Soc,1
0,8,2,1,dSocdt_h20_day_minus1,696,-7.91410017,dSocdt,1
0,9,0,0,dSocdt_h5_day_minus1,681,-0.717700005,dSocdt,1
0,9,1,1,Soc_h22_day_minus1,722,26.1182003,Soc,1
0,9,2,1,dSocdt_h14_day_minus1,690,-1.78840005,dSocdt,1
0,10,0,0,dSocdt_h23_day_minus1,699,-7.64599991,dSocdt,1
0,10,1,1,Soc_h22_day_minus1,722,42.7268982,Soc,1
0,10,2,1,dSocdt_h23_day_minus3,595,-10.5640001,dSocdt,3
0,11,0,0,dSocdt_h23_day_minus1,699,-5.25979996,dSocdt,1
0,11,1,1,Soc_h22_day_minus1,722,26.1182003,Soc,1
0,11,2,1,dSocdt_h21_day_minus1,697,-8.85319996,dSocdt,1
0,12,0,0,dSocdt_h23_day_minus1,699,-7.64599991,dSocdt,1
0,12,1,1,Soc_h22_day_minus1,722,42.7268982,Soc,1
0,12,2,1,dSocdt_h20_day_minus1,696,-7.55439997,dSocdt,1
0,13,0,0,dSocdt_h23_day_minus1,699,-5.25979996,dSocdt,1
0,13,1,1,Soc_h23_day_minus1,723,17.3327007,Soc,1
0,13,2,1,dSocdt_h21_day_minus1,697,-8.85319996,dSocdt,1
0,14,0,0,dSocdt_h23_day_minus1,699,-7.64599991,dSocdt,1
0,14,1,1,Soc_h22_day_minus1,722,43.9389992,Soc,1
0,14,2,1,dSocdt_h23_day_minus3,595,-10.5640001,dSocdt,3
0,15,0,0,dSocdt_h23_day_minus1,699,-8.24860001,dSocdt,1
0,15,1,1,Soc_h22_day_minus1,722,43.9389992,Soc,1
0,15,2,1,dSocdt_h23_day_minus3,595,-13.5677004,dSocdt,3
0,16,0,0,dSocdt_h23_day_minus1,699,-3.04699993,dSocdt,1
0,16,1,1,Soc_h22_day_minus1,722,26.1182003,Soc,1
